Iteration	Posterior	Likelihood	Prior	alpha_morpho	branch_rate_var[1]	branch_rate_var[2]	branch_rate_var[3]	branch_rate_var[4]	branch_rate_var[5]	branch_rate_var[6]	branch_rate_var[7]	branch_rate_var[8]	branch_rate_var[9]	branch_rate_var[10]	branch_rate_var[11]	branch_rate_var[12]	branch_rate_var[13]	branch_rate_var[14]	branch_rate_var[15]	branch_rate_var[16]	branch_rate_var[17]	branch_rate_var[18]	branch_rate_var[19]	branch_rate_var[20]	branch_rate_var[21]	branch_rate_var[22]	branch_rate_var[23]	branch_rate_var[24]	branch_rate_var[25]	branch_rate_var[26]	branch_rate_var[27]	branch_rate_var[28]	branch_rate_var[29]	branch_rate_var[30]	branch_rate_var[31]	branch_rate_var[32]	branch_rate_var[33]	branch_rate_var[34]	branch_rate_var[35]	branch_rate_var[36]	branch_rate_var[37]	branch_rate_var[38]	branch_rate_var[39]	branch_rate_var[40]	branch_rate_var[41]	branch_rate_var[42]	branch_rate_var[43]	branch_rate_var[44]	branch_rate_var[45]	branch_rate_var[46]	branch_rate_var[47]	branch_rate_var[48]	branch_rate_var[49]	branch_rate_var[50]	branch_rate_var[51]	branch_rate_var[52]	origin_time	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	Root_age	tree_length	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-1028.006	-1004.398	-23.60843	522431.8	0.362135	0.484353	0.53759	0.561681	0.506755	0.696546	0.621232	0.795347	0.268198	0.968061	1.00928	1.12676	0.494578	0.495552	0.866963	1.60842	0.523984	0.533733	0.616096	1.30577	0.941591	0.258919	0.450156	0.354871	1.00777	0.427541	0.719492	0.918526	0.571453	0.320819	0.803829	0.379789	0.848421	0.809826	1.40197	0.28119	0.930819	0.451816	0.701305	0.514783	0.896117	0.533685	0.701789	0.807856	0.704156	0.383168	0.880532	0.483545	1.03977	0.608322	0.618367	0.5007	11.06768	0.998242	0.99955	1.00045	1.00176	11.06768	131.9095	0.7078192	-0.4176528	0.3797002	0.1441722
10	-700.8251	-683.2073	-17.61775	133118.8	0.640557	0.470045	0.327688	0.313107	2.20546	0.400824	0.292126	0.486523	0.372264	0.356244	0.197994	0.758852	0.496796	0.192021	0.468285	0.456922	0.216389	1.21699	0.379281	1.68364	0.428683	0.302671	0.309926	0.269513	0.859191	0.539123	0.340772	0.351584	0.228932	0.619016	0.489416	0.725181	0.28779	0.472164	0.461989	0.939279	0.607943	0.492814	0.134782	0.383123	0.291164	0.46034	0.699021	0.204535	0.259742	0.430945	0.987735	0.251671	0.438859	0.593189	0.376958	0.271374	11.05038	0.996518	0.999108	1.00089	1.00349	11.05038	64.16244	0.5708966	-0.7126645	0.5515747	0.3042346
20	-647.1971	-642.2125	-4.984571	267561.9	0.217753	0.674142	0.905849	0.184915	0.616431	0.292547	0.167066	0.189389	0.414258	0.82079	0.104152	0.338931	0.266004	0.228497	0.268164	0.322168	0.420556	0.515932	0.303584	0.298572	0.383742	0.355247	0.256466	0.154061	0.110061	0.459555	0.103372	0.856066	0.592068	0.436715	0.386055	0.67431	0.226721	0.694776	0.138507	0.262984	0.165515	0.504717	0.11636	0.19887	0.15125	0.367336	0.720619	0.163301	0.306166	0.554974	0.137282	0.177642	0.220844	0.407233	0.634685	0.155448	11.047	0.997544	0.999371	1.00063	1.00246	11.047	73.89097	0.4112147	-1.149479	0.7222737	0.5216793
30	-588.2654	-603.8134	15.548	430975.9	0.482031	0.176444	0.25936	0.231327	0.165818	0.0944936	0.130705	0.174784	0.321473	0.175719	0.283922	0.986865	0.28793	0.118727	0.22717	0.164166	0.295417	0.473906	0.218137	0.21338	0.115632	0.0699404	0.0880948	0.131146	0.0892472	0.0781151	0.0523	0.546762	0.517087	0.107112	0.854549	0.353827	0.483483	0.0931074	0.201067	0.0428964	0.155784	0.17042	0.137081	0.124736	0.0944404	0.206486	0.0614225	0.0468088	0.336808	0.0911654	0.453811	0.0643482	0.0983321	0.0708339	0.108697	0.269246	11.0381	0.998064	0.999505	1.00049	1.00194	11.0381	73.73293	0.2318237	-1.742411	0.7491766	0.5612655
40	-528.1287	-573.819	45.69023	314145.3	0.333405	0.0464035	0.0342491	0.0561149	0.0934093	0.0854589	0.0297289	0.0373237	0.243571	0.176322	0.077241	0.447226	0.0950105	0.0593992	0.0361576	0.0389867	0.249519	0.703	0.101628	0.186349	0.0660408	0.0386963	0.0302298	0.0755598	0.157824	0.0293134	0.0171642	0.0907936	0.394711	0.242443	0.26902	0.219727	0.11073	0.0966386	0.0863037	0.109131	0.0594508	0.279404	0.0365302	0.0361604	0.0542812	0.102706	0.117129	0.0615717	0.108801	0.0569928	0.0570248	0.0920912	0.0274687	0.0229914	0.0356082	0.0724834	11.05075	0.997733	0.99942	1.00058	1.00227	11.05075	86.47385	0.1228795	-2.419894	0.8041672	0.6466849
50	-505.7778	-573.4356	67.65771	72941.86	0.325952	0.0533764	0.0147368	0.0251867	0.0602847	0.0386838	0.0452791	0.0230796	0.0205897	0.0418428	0.0158028	0.189883	0.0327824	0.05435	0.115083	0.0111465	0.108353	0.165284	0.0683879	0.0774441	0.0208476	0.0335887	0.0178078	0.0686318	0.0737748	0.0326446	0.0356259	0.0372081	0.31351	0.132368	0.13497	0.13905	0.216275	0.0480009	0.0183676	0.23414	0.0242921	0.0247116	0.059212	0.034668	0.0227527	0.116306	0.0537681	0.0507632	0.0320393	0.0490991	0.150398	0.0333237	0.0404291	0.0391456	0.0139732	0.252268	11.04626	0.995297	0.998794	1.0012	1.00471	11.04626	93.51773	0.07351518	-2.882994	0.7385538	0.5454618
60	-470.5242	-573.1436	102.6194	64426.09	0.061737	0.0363845	0.0169657	0.0155034	0.0276112	0.0398302	0.014798	0.0220737	0.0412428	0.0171152	0.00859062	0.024586	0.0684659	0.0377255	0.0409258	0.00625694	0.0341524	0.0266221	0.0675918	0.0370382	0.0081231	0.00786321	0.00764454	0.0330421	0.0494087	0.0329001	0.0400351	0.0136516	0.0801096	0.0306278	0.0225553	0.0284712	0.123221	0.063211	0.00569069	0.0859121	0.00751489	0.0176798	0.0225394	0.0118624	0.0432642	0.0338037	0.198752	0.014682	0.0259374	0.223141	0.0298213	0.039636	0.0212324	0.0204808	0.0227867	0.10217	11.02389	0.994997	0.998716	1.00127	1.00501	11.02389	124.2207	0.034135	-3.653959	0.7436755	0.5530532
70	-462.8902	-569.486	106.5957	148600.7	0.0844086	0.0277664	0.0656341	0.0308779	0.0378005	0.0148658	0.0125739	0.0217364	0.0488807	0.00208188	0.00527429	0.0579627	0.10224	0.00786582	0.00494042	0.00376483	0.016881	0.0654008	0.0643065	0.0406583	0.0278834	0.0279014	0.00859255	0.0225917	0.00405372	0.0225455	0.0692903	0.0245262	0.0458524	0.0518722	0.0377677	0.0184576	0.0237346	0.0452991	0.0140331	0.0264271	0.0462146	0.0157092	0.0188418	0.0107785	0.0575743	0.013841	0.125217	0.00519062	0.00976252	0.0186222	0.0871307	0.0401233	0.0352186	0.0230059	0.00991828	0.0500888	11.01864	0.996705	0.999156	1.00084	1.0033	11.01864	121.3167	0.03395143	-3.819908	0.9349691	0.8741672
80	-451.7334	-577.212	125.4786	689895.8	0.0256345	0.0241404	0.0213245	0.071983	0.0410972	0.0437954	0.00785844	0.0239104	0.00883596	0.013192	0.00269049	0.0304239	0.0450414	0.00908851	0.017061	0.0194829	0.0166612	0.0243027	0.0543173	0.0112312	0.0182018	0.00861736	0.0101388	0.0117206	0.00997149	0.03517	0.0249284	0.0262442	0.0625417	0.0187917	0.0802961	0.0349339	0.00617229	0.182338	0.00817474	0.010572	0.0330277	0.00543952	0.0142344	0.00943716	0.0154164	0.00410782	0.018121	0.00795386	0.0229397	0.020638	0.12467	0.0230049	0.00989073	0.015679	0.00944862	0.0138052	11.01862	0.99847	0.999609	1.00039	1.00153	11.01862	165.6175	0.0254956	-4.010559	0.8262074	0.6826187
90	-451.3269	-566.7043	115.3775	351968.9	0.0194035	0.0310406	0.0299615	0.0249218	0.035659	0.0425907	0.00920672	0.0355177	0.00645361	0.0133078	0.00488172	0.0322419	0.131473	0.00689134	0.0378265	0.0133702	0.0190282	0.0151304	0.0528065	0.0238304	0.0244876	0.0133033	0.0162276	0.0137533	0.00988281	0.0186413	0.0172732	0.0223833	0.0460801	0.027505	0.084806	0.0187032	0.0192486	0.156286	0.00881961	0.0123183	0.0696627	0.00258358	0.0192559	0.0499987	0.0108096	0.0668365	0.0210446	0.0398839	0.00896787	0.0191452	0.0979574	0.0544123	0.017405	0.0416317	0.0182493	0.0262158	11.01806	0.997858	0.999452	1.00055	1.00214	11.01806	153.6758	0.03290945	-3.714405	0.7751258	0.6008201
