Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	0	-920.8476	-843.1551	-77.69251	188114	3.270271	0.997071	0.99925	1.00075	1.00293	16.14189
1	1	-857.2626	-827.7351	-29.5275	709269.3	7.258771	0.998491	0.999614	1.00039	1.00151	6.129119
2	0	-652.6073	-606.6052	-46.00204	479222.8	6.418249	0.998164	0.99953	1.00047	1.00184	8.54691
3	1	-665.3724	-631.5784	-33.79401	589567.7	8.289844	0.998345	0.999577	1.00042	1.00166	6.67371
4	0	-561.2626	-534.6944	-26.56828	363141.6	10.88576	0.997891	0.99946	1.00054	1.00211	5.64708
5	1	-577.6522	-557.2715	-20.3807	396051.8	9.8593	0.997981	0.999483	1.00052	1.00202	5.115922
6	0	-545.4432	-519.3061	-26.13714	727130.5	9.363549	0.99851	0.999619	1.00038	1.00149	5.731146
7	1	-544.7835	-529.6752	-15.10835	829688.2	13.2246	0.998605	0.999643	1.00036	1.0014	4.496985
8	0	-527.1098	-503.7919	-23.31791	721234.9	11.2451	0.998504	0.999617	1.00038	1.0015	5.31848
9	1	-543.6922	-525.0095	-18.68267	867161.5	9.972665	0.998635	0.999651	1.00035	1.00137	4.94369
10	0	-523.401	-510.5932	-12.80776	743136.7	12.87779	0.998526	0.999623	1.00038	1.00147	4.339588
11	1	-541.0975	-524.2774	-16.82009	948457.9	10.20274	0.998695	0.999666	1.00033	1.00131	4.759153
12	0	-509.7888	-491.5108	-18.27808	697134.4	9.107082	0.998478	0.999611	1.00039	1.00152	4.879688
13	1	-537.4051	-515.0492	-22.35593	282812.3	9.743637	0.997611	0.999388	1.00061	1.00239	5.319978
14	0	-508.933	-489.0337	-19.89924	901166.7	8.185752	0.998661	0.999658	1.00034	1.00134	4.984958
15	1	-532.4957	-503.7692	-28.72648	293881	8.53714	0.997656	0.9994	1.0006	1.00235	6.056615
16	0	-513.9846	-488.5735	-25.41113	720958.6	8.507007	0.998503	0.999617	1.00038	1.0015	5.667859
17	1	-534.5252	-503.4977	-31.02751	929263.1	6.814238	0.998682	0.999663	1.00034	1.00132	6.289152
18	0	-516.8048	-499.2617	-17.54311	269802.7	8.095143	0.997554	0.999374	1.00062	1.00245	4.681813
19	1	-538.286	-508.9343	-29.35163	849538.4	7.772462	0.998621	0.999647	1.00035	1.00138	6.136854
20	0	-523.9475	-497.3712	-26.57628	679823.2	10.35508	0.998459	0.999606	1.00039	1.00154	5.701356
21	1	-524.0837	-500.685	-23.39863	715526.7	8.236968	0.998498	0.999616	1.00038	1.0015	5.416177
22	0	-534.5194	-505.7337	-28.78568	429432.5	9.215903	0.998061	0.999504	1.00049	1.00194	6.0256
23	1	-533.7888	-508.7226	-25.06618	457835.9	9.263206	0.998122	0.99952	1.00048	1.00188	5.620461
24	0	-524.2713	-501.0074	-23.26386	277563.3	7.589164	0.997588	0.999383	1.00062	1.00241	5.327361
25	1	-533.4371	-509.1724	-24.26461	288987.1	8.436372	0.997636	0.999395	1.0006	1.00237	5.530682
26	0	-528.1976	-504.765	-23.43264	416734.6	7.547295	0.998032	0.999496	1.0005	1.00197	5.343002
27	1	-525.2017	-494.3345	-30.86714	314786.9	10.69706	0.997735	0.99942	1.00058	1.00227	6.068727
28	0	-512.1664	-489.2533	-22.91309	497462.8	11.27726	0.998198	0.999539	1.00046	1.0018	5.27976
29	1	-526.5306	-503.7303	-22.80029	22952.3	9.609421	0.991622	0.997845	1.00213	1.0084	5.369703
30	0	-505.876	-491.2203	-14.65575	765794.4	10.85066	0.998548	0.999629	1.00037	1.00145	4.552952
31	1	-534.4701	-495.8918	-38.57827	88292.38	8.439511	0.995725	0.998904	1.00109	1.00428	7.226829
32	0	-508.6611	-492.8404	-15.82076	600826.8	11.64994	0.998361	0.999581	1.00042	1.00164	4.638008
33	1	-524.4231	-501.9513	-22.47178	82081.45	9.969127	0.995567	0.998863	1.00113	1.00444	5.323785
34	0	-508.4782	-494.5388	-13.93935	456000.6	13.06908	0.998118	0.999519	1.00048	1.00188	4.417268
35	1	-527.3743	-499.1967	-28.17756	62724.24	9.090505	0.994929	0.998699	1.00129	1.00508	5.967722
36	0	-508.0063	-498.445	-9.561327	678392.8	10.89676	0.998457	0.999605	1.00039	1.00154	4.085169
37	1	-532.1004	-504.3913	-27.70916	27544.85	7.947592	0.992352	0.998033	1.00195	1.00767	5.933539
38	0	-506.0957	-495.6292	-10.46654	677584.6	10.13064	0.998456	0.999605	1.00039	1.00154	4.131584
39	1	-521.708	-500.898	-20.81002	171900.3	9.14539	0.996936	0.999215	1.00078	1.00307	5.158673
40	0	-512.493	-497.9396	-14.55333	222734	9.606333	0.997308	0.999311	1.00069	1.00269	4.511295
41	1	-518.2397	-496.4788	-21.76086	396329.6	9.168695	0.997982	0.999484	1.00051	1.00202	5.262914
42	0	-509.0359	-503.3567	-5.679215	673433.3	11.85666	0.998451	0.999604	1.0004	1.00155	3.773968
43	1	-516.6118	-503.5499	-13.06191	747447.6	12.71119	0.99853	0.999624	1.00038	1.00147	4.366836
44	0	-520.7067	-513.6761	-7.030626	608276.5	11.64845	0.998371	0.999583	1.00042	1.00163	3.883448
45	1	-517.7432	-503.0863	-14.65687	776435.7	12.54248	0.998558	0.999631	1.00037	1.00144	4.501099
46	0	-510.2199	-507.5748	-2.645053	715373	11.69417	0.998498	0.999616	1.00038	1.0015	3.509545
47	1	-515.474	-502.467	-13.00699	712365.6	8.850641	0.998494	0.999615	1.00038	1.00151	4.266724
48	0	-509.551	-494.3814	-15.16963	332593.8	9.651427	0.997797	0.999436	1.00056	1.0022	4.577885
49	1	-520.4479	-504.3158	-16.13207	621659.2	9.724866	0.998388	0.999588	1.00041	1.00161	4.680525
50	0	-505.897	-490.0673	-15.82975	490911.9	11.13218	0.998186	0.999536	1.00046	1.00181	4.655561
51	1	-505.3127	-486.7129	-18.59973	971920.4	11.49127	0.998711	0.99967	1.00033	1.00129	4.885782
