Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
260	-506.5662	-488.6389	-17.92729	607172.9	8.739949	0.998369	0.999583	1.00042	1.00163	4.812821
270	-512.7089	-497.4716	-15.23735	930226.1	9.362249	0.998682	0.999663	1.00034	1.00132	4.566985
280	-516.2213	-490.1498	-26.07144	827236	7.927005	0.998603	0.999643	1.00036	1.0014	5.726181
290	-522.0248	-501.7407	-20.28415	543677.1	10.15485	0.998277	0.999559	1.00044	1.00172	5.100036
300	-518.4515	-498.3211	-20.13046	871172	7.48298	0.998638	0.999652	1.00035	1.00136	4.891025
310	-521.0569	-493.3788	-27.67806	314255	8.422783	0.997733	0.99942	1.00058	1.00227	5.935431
320	-505.8531	-495.3052	-10.5479	48628.13	11.62274	0.994242	0.998522	1.00147	1.00577	4.185406
330	-511.676	-488.0117	-23.6643	240743.5	9.554151	0.997411	0.999337	1.00066	1.00259	5.461566
340	-510.5446	-495.6059	-14.93861	662251.9	12.33801	0.998438	0.999601	1.0004	1.00156	4.533902
350	-509.4869	-499.7375	-9.749449	227286.6	10.70142	0.997335	0.999318	1.00068	1.00267	4.094761
360	-523.8511	-503.8952	-19.95596	262808.5	9.260845	0.997522	0.999366	1.00063	1.00248	5.068732
370	-523.1882	-504.7104	-18.47785	490675.7	11.6219	0.998186	0.999536	1.00046	1.00182	4.867733
380	-526.0169	-515.7794	-10.23754	634181.5	11.8567	0.998404	0.999592	1.00041	1.0016	4.15842
390	-516.8495	-511.3867	-5.462783	377283.8	12.67054	0.997931	0.999471	1.00053	1.00207	3.768847
400	-509.8112	-496.2245	-13.58667	375847.7	12.57985	0.997927	0.99947	1.00053	1.00207	4.414123
410	-516.1852	-501.0412	-15.14405	22489.66	10.12536	0.991537	0.997822	1.00215	1.00849	4.593177
420	-516.7778	-493.2712	-23.50662	924745.5	9.368857	0.998678	0.999662	1.00034	1.00132	5.450098
430	-512.7579	-494.5229	-18.235	371113.4	9.576413	0.997914	0.999466	1.00053	1.00209	4.893854
440	-513.8327	-491.6536	-22.17912	795796.1	9.907502	0.998575	0.999636	1.00036	1.00143	5.296685
450	-513.6993	-495.8464	-17.85292	908193.8	11.7718	0.998667	0.999659	1.00034	1.00133	4.805637
460	-526.3525	-498.2755	-28.077	251937.4	10.09627	0.997469	0.999352	1.00065	1.00253	5.873416
470	-537.4382	-501.7257	-35.71246	250084.3	7.64735	0.997459	0.99935	1.00065	1.00254	6.964072
480	-518.8074	-506.2651	-12.54235	683523.5	13.42522	0.998463	0.999607	1.00039	1.00154	4.29286
490	-515.5444	-496.166	-19.37845	632575.5	8.09085	0.998402	0.999591	1.00041	1.0016	4.907901
500	-517.4196	-494.8704	-22.54922	915553.6	9.328068	0.998672	0.99966	1.00034	1.00133	5.348312
510	-511.7926	-502.1075	-9.685113	437305	13.40845	0.998078	0.999508	1.00049	1.00192	4.080632
520	-510.5942	-491.469	-19.12525	806088.6	9.104198	0.998585	0.999638	1.00036	1.00142	4.972576
530	-515.1427	-495.4669	-19.67585	101107.7	11.90951	0.996005	0.998976	1.00102	1.004	4.950626
540	-521.8011	-500.3675	-21.43366	343406.1	8.67882	0.997832	0.999445	1.00055	1.00217	5.210898
550	-516.4316	-506.945	-9.48662	718381.8	10.40353	0.998501	0.999617	1.00038	1.0015	4.054077
560	-533.2745	-511.2165	-22.05799	494807.8	9.14271	0.998194	0.999538	1.00046	1.00181	5.295108
570	-528.6271	-508.5473	-20.07985	631400.5	12.35247	0.998401	0.999591	1.00041	1.0016	4.949407
580	-529.588	-499.0396	-30.54844	182087.7	7.345975	0.997023	0.999238	1.00076	1.00298	6.275874
590	-532.1109	-505.4876	-26.6233	152106.7	9.47148	0.996743	0.999166	1.00083	1.00326	5.776599
600	-523.2999	-495.905	-27.39482	155649.5	7.289375	0.99678	0.999175	1.00082	1.00322	5.839409
610	-522.0006	-498.5695	-23.43104	2760.686	9.160568	0.975913	0.993718	1.00608	1.02429	5.445147
620	-516.3913	-495.3631	-21.02819	807836.5	11.26532	0.998586	0.999638	1.00036	1.00141	5.113454
630	-525.2836	-496.6643	-28.61934	394410	7.413049	0.997977	0.999482	1.00052	1.00202	6.019582
640	-520.8397	-501.3787	-19.461	864512.8	11.00001	0.998633	0.99965	1.00035	1.00137	4.988641
650	-518.5826	-507.3516	-11.23094	418478.7	11.24918	0.998036	0.999497	1.0005	1.00197	4.243647
660	-533.9619	-502.1824	-31.77956	178350.5	7.373211	0.996992	0.99923	1.00077	1.00301	6.444523
670	-531.7803	-505.8693	-25.911	234608.6	9.917935	0.997377	0.999328	1.00067	1.00263	5.67259
680	-512.9134	-501.596	-11.3174	330877.9	11.31799	0.997791	0.999435	1.00056	1.00221	4.25175
690	-531.2527	-514.563	-16.68968	184304.5	11.71146	0.997041	0.999242	1.00075	1.00296	4.709723
700	-516.5765	-501.3291	-15.24741	887767.6	11.24077	0.998651	0.999655	1.00034	1.00135	4.600891
710	-510.107	-494.0307	-16.07631	566192.5	12.08584	0.998311	0.999568	1.00043	1.00169	4.639669
720	-525.45	-510.4235	-15.02646	653557.8	10.92441	0.998428	0.999598	1.0004	1.00157	4.586422
730	-515.8173	-501.7044	-14.11293	347521	13.9591	0.997845	0.999448	1.00055	1.00216	4.376014
740	-524.0116	-494.9206	-29.09106	419354.3	6.863839	0.998038	0.999498	1.0005	1.00196	6.014024
750	-515.4894	-498.5859	-16.90346	751273.6	9.229237	0.998534	0.999625	1.00037	1.00147	4.737142
760	-518.4791	-492.9152	-25.56393	383722.1	8.027499	0.997949	0.999475	1.00052	1.00205	5.668807
770	-515.6418	-501.5726	-14.06926	532298.1	9.794605	0.998258	0.999554	1.00044	1.00174	4.472375
780	-503.7541	-493.5779	-10.17617	976497.2	14.149	0.998714	0.999671	1.00033	1.00129	4.085066
790	-523.7019	-501.6686	-22.03324	260749.4	8.148618	0.997512	0.999363	1.00063	1.00249	5.242014
800	-514.3582	-496.2473	-18.11091	416576	10.7682	0.998031	0.999496	1.0005	1.00197	4.874086
810	-510.5135	-494.2771	-16.2364	962042	11.11495	0.998704	0.999669	1.00033	1.0013	4.692566
820	-513.6316	-502.5091	-11.12241	731166.6	11.56731	0.998514	0.99962	1.00038	1.00149	4.235009
830	-507.4058	-491.0506	-16.35517	75994.45	10.36391	0.995393	0.998819	1.00117	1.00461	4.7143
840	-514.5686	-489.514	-25.05467	40476.89	8.469286	0.993689	0.998379	1.00161	1.00633	5.625145
850	-529.4453	-498.6788	-30.76655	313087	11.7309	0.997729	0.999419	1.00058	1.00227	5.90878
860	-517.9152	-494.4684	-23.44678	878278.2	8.591398	0.998644	0.999653	1.00035	1.00136	5.440177
870	-537.7605	-498.9351	-38.82543	684491.8	6.573689	0.998464	0.999607	1.00039	1.00154	7.434016
880	-518.605	-494.5218	-24.08327	632781.6	9.304937	0.998403	0.999591	1.00041	1.0016	5.513361
890	-510.4104	-495.9663	-14.44409	562242.2	9.699063	0.998305	0.999567	1.00043	1.0017	4.505503
900	-505.0319	-494.9048	-10.12717	823025.7	11.18714	0.998599	0.999642	1.00036	1.0014	4.144414
910	-516.0238	-496.8826	-19.14125	687615.2	10.8528	0.998468	0.999608	1.00039	1.00153	4.966245
920	-522.7082	-499.3846	-23.32361	707857.2	9.624928	0.99849	0.999614	1.00039	1.00151	5.423645
930	-516.3683	-503.846	-12.52235	702654.3	10.20929	0.998484	0.999612	1.00039	1.00152	4.338214
940	-527.1782	-506.3445	-20.83369	145772.8	10.2884	0.996673	0.999148	1.00085	1.00333	5.149417
950	-523.5209	-510.6577	-12.86322	511104.1	10.41842	0.998223	0.999545	1.00045	1.00178	4.379097
960	-513.2847	-495.516	-17.76865	832620.7	9.554117	0.998607	0.999644	1.00036	1.00139	4.844487
970	-504.992	-492.3794	-12.61254	690641.4	10.68139	0.998471	0.999609	1.00039	1.00153	4.361913
980	-519.0729	-496.8674	-22.20554	446080.9	10.13055	0.998097	0.999513	1.00049	1.0019	5.290351
990	-515.1546	-492.2181	-22.93652	381328	10.42195	0.997942	0.999473	1.00053	1.00206	5.34575
1000	-506.7914	-490.0381	-16.7533	770477.9	9.530678	0.998552	0.99963	1.00037	1.00145	4.737214
1010	-520.8103	-495.3537	-25.45664	907757.9	11.3827	0.998666	0.999659	1.00034	1.00133	5.494154
1020	-522.6764	-496.2141	-26.46223	493365.3	8.159956	0.998191	0.999537	1.00046	1.00181	5.785915
1030	-511.2905	-498.4132	-12.8773	68663.37	13.7365	0.995153	0.998757	1.00123	1.00486	4.300534
1040	-509.2001	-498.007	-11.19309	907394.9	9.507664	0.998666	0.999659	1.00034	1.00133	4.151383
1050	-538.0983	-516.0103	-22.08797	639028.5	9.015507	0.99841	0.999593	1.00041	1.00159	5.296708
1060	-504.4402	-494.3158	-10.12441	693516.5	12.35658	0.998474	0.99961	1.00039	1.00153	4.143388
1070	-527.9237	-498.2926	-29.63108	213975.3	8.198789	0.997253	0.999297	1.0007	1.00275	6.173597
1080	-516.871	-498.8181	-18.05293	886964.3	9.925505	0.998651	0.999655	1.00034	1.00135	4.880327
1090	-516.516	-500.5888	-15.9272	767807.7	9.79082	0.99855	0.999629	1.00037	1.00145	4.661931
1100	-521.3121	-486.9921	-34.32005	759237.2	10.47804	0.998542	0.999627	1.00037	1.00146	6.428607
1110	-502.7022	-490.6433	-12.05889	310652.2	8.982088	0.99772	0.999417	1.00058	1.00228	4.179509
1120	-505.047	-493.2536	-11.79338	45683.66	17.55097	0.994059	0.998475	1.00151	1.00595	3.972723
1130	-507.0429	-497.2651	-9.777827	277816.1	11.79434	0.997589	0.999383	1.00061	1.00241	4.119684
1140	-521.2753	-500.7994	-20.47591	980574.6	11.21839	0.998717	0.999672	1.00033	1.00128	5.067474
1150	-512.6072	-496.5227	-16.08443	383309.8	9.352099	0.997948	0.999475	1.00052	1.00205	4.65682
1160	-526.2357	-505.4477	-20.788	739604.5	8.316306	0.998522	0.999622	1.00038	1.00148	5.107466
1170	-519.0168	-493.5991	-25.41766	76055.92	8.399934	0.995395	0.998819	1.00117	1.00461	5.66653
1180	-517.5349	-503.7592	-13.7757	977915.4	12.74009	0.998715	0.999671	1.00033	1.00129	4.421594
1190	-516.4793	-496.2328	-20.24649	638569.7	9.912571	0.99841	0.999593	1.00041	1.00159	5.101538
1200	-526.1736	-499.2529	-26.92074	254233.7	9.14276	0.99748	0.999355	1.00064	1.00252	5.826977
1210	-529.6196	-509.5128	-20.10683	494592.3	10.55374	0.998193	0.999538	1.00046	1.00181	5.0691
1220	-523.5141	-500.0815	-23.43257	332085.1	10.0101	0.997795	0.999436	1.00056	1.00221	5.418054
1230	-512.4889	-493.7459	-18.74295	323497.9	11.10801	0.997766	0.999428	1.00057	1.00224	4.918408
1240	-510.9573	-499.3258	-11.63147	324911.9	10.53635	0.997771	0.99943	1.00057	1.00223	4.265422
1250	-524.0035	-499.7991	-24.20444	829114.3	10.80651	0.998604	0.999643	1.00036	1.0014	5.436734
1260	-517.5295	-511.805	-5.724476	829114.3	12.08605	0.998604	0.999643	1.00036	1.0014	3.783147
1270	-527.8141	-502.9806	-24.83344	84936.69	9.185368	0.995642	0.998883	1.00111	1.00436	5.597593
1280	-520.5978	-510.3657	-10.23202	707250.7	10.60941	0.998489	0.999614	1.00039	1.00151	4.135982
1290	-524.8055	-501.0016	-23.80386	170377.9	6.582524	0.996922	0.999212	1.00078	1.00308	5.152139
1300	-519.7627	-499.6101	-20.15258	956917.2	11.02504	0.998701	0.999668	1.00033	1.0013	5.050102
1310	-517.5463	-507.081	-10.46528	665095.6	13.01096	0.998442	0.999601	1.0004	1.00156	4.153412
1320	-512.8656	-495.9652	-16.90037	986776.7	10.21692	0.998721	0.999673	1.00033	1.00128	4.767061
1330	-519.3825	-494.1779	-25.20467	911365.1	7.498454	0.998669	0.99966	1.00034	1.00133	5.57127
1340	-520.738	-495.0912	-25.64686	825846.2	8.949786	0.998602	0.999642	1.00036	1.0014	5.69303
1350	-511.0152	-502.2819	-8.733234	640210.2	14.77899	0.998412	0.999594	1.00041	1.00159	3.955098
1360	-531.034	-509.5388	-21.49523	326807.3	8.292475	0.997777	0.999431	1.00057	1.00222	5.190356
1370	-528.0856	-505.5464	-22.53919	200271.5	10.13919	0.997161	0.999273	1.00072	1.00284	5.322867
1380	-524.157	-509.3354	-14.82156	170438.1	10.4198	0.996923	0.999212	1.00078	1.00308	4.567083
1390	-530.0668	-509.6527	-20.41408	577354.3	10.92238	0.998328	0.999572	1.00043	1.00167	5.079708
1400	-512.6752	-495.7138	-16.9614	845470.8	14.45887	0.998618	0.999647	1.00035	1.00138	4.538925
1410	-505.89	-493.4377	-12.45231	611658	11.88144	0.998375	0.999584	1.00041	1.00163	4.344698
1420	-513.0589	-499.1044	-13.95458	681525.1	10.59864	0.998461	0.999606	1.00039	1.00154	4.486732
1430	-517.0647	-505.2325	-11.83216	428493.7	11.06698	0.998059	0.999503	1.0005	1.00194	4.29588
1440	-527.3703	-512.1155	-15.25484	119604.5	9.157447	0.996327	0.999059	1.00094	1.00368	4.552325
1450	-510.7377	-502.1293	-8.60843	276681.9	13.19322	0.997585	0.999382	1.00062	1.00242	4.006303
1460	-509.3024	-498.8998	-10.40261	63828.58	14.29636	0.994973	0.99871	1.00128	1.00504	4.093698
1470	-507.4965	-496.6511	-10.84534	842897.6	14.95417	0.998616	0.999646	1.00035	1.00138	4.087849
1480	-513.655	-502.6823	-10.97271	317050.7	11.50437	0.997743	0.999423	1.00058	1.00226	4.222074
1490	-516.2971	-492.3148	-23.98234	407386.2	8.147992	0.998009	0.999491	1.00051	1.00199	5.481164
1500	-524.5482	-499.5454	-25.00284	207804.7	7.760926	0.997213	0.999286	1.00071	1.00279	5.576168
1510	-524.6979	-513.5816	-11.11635	10040.64	14.68969	0.987343	0.996732	1.00321	1.01271	4.121547
1520	-519.641	-496.5133	-23.12764	27900.15	8.361619	0.9924	0.998046	1.00193	1.00762	5.391654
1530	-515.6988	-492.4269	-23.27183	192504.7	8.354706	0.997104	0.999259	1.00074	1.0029	5.408491
1540	-518.346	-496.6506	-21.69542	818396.1	10.62372	0.998595	0.999641	1.00036	1.00141	5.215651
1550	-530.45	-510.2344	-20.21566	234222.9	9.251216	0.997375	0.999328	1.00067	1.00263	5.096553
1560	-524.1218	-509.5426	-14.57916	737604.6	10.15697	0.99852	0.999622	1.00038	1.00148	4.538295
1570	-511.4589	-494.7744	-16.68454	563319.8	11.41197	0.998307	0.999567	1.00043	1.00169	4.722352
1580	-517.6022	-497.0921	-20.51008	397296.8	10.86428	0.997984	0.999484	1.00051	1.00202	5.091742
1590	-527.9272	-502.2111	-25.7161	616782.3	9.941824	0.998382	0.999586	1.00041	1.00162	5.651216
1600	-513.8456	-504.9909	-8.85469	869576.3	15.53694	0.998637	0.999652	1.00035	1.00136	3.924385
1610	-517.6824	-496.9103	-20.77206	465255.9	9.380439	0.998137	0.999523	1.00048	1.00186	5.158322
1620	-519.0153	-501.9933	-17.02198	942714.1	12.24105	0.998691	0.999665	1.00033	1.00131	4.708722
1630	-510.3943	-498.3489	-12.04534	871039.1	13.14791	0.998638	0.999652	1.00035	1.00136	4.268857
1640	-526.8546	-506.2926	-20.56199	615130.5	13.27074	0.99838	0.999586	1.00041	1.00162	4.904992
1650	-537.4076	-509.9347	-27.47293	967159.3	8.021119	0.998708	0.99967	1.00033	1.00129	5.906417
1660	-520.5091	-503.1504	-17.35868	862829.5	9.827237	0.998632	0.99965	1.00035	1.00137	4.808846
1670	-518.789	-498.8854	-19.90355	665757.4	10.38648	0.998443	0.999602	1.0004	1.00156	5.055938
1680	-512.9092	-492.3852	-20.52396	189107.1	8.740988	0.997079	0.999252	1.00075	1.00292	5.109987
1690	-519.6715	-504.7477	-14.92386	706041.9	13.08158	0.998488	0.999613	1.00039	1.00151	4.491843
1700	-506.7889	-506.7675	-0.0213335	98051.96	16.02771	0.995944	0.99896	1.00103	1.00406	3.345921
1710	-517.3464	-509.7305	-7.615921	997732.9	15.65002	0.998728	0.999675	1.00032	1.00127	3.839061
1720	-536.3621	-513.3974	-22.96468	727481.9	8.299123	0.99851	0.999619	1.00038	1.00149	5.368023
1730	-514.26	-487.8727	-26.38738	9731.815	10.6499	0.987145	0.99668	1.00326	1.01291	5.654688
1740	-521.7304	-508.9006	-12.82982	238188.1	13.67066	0.997397	0.999334	1.00066	1.00261	4.300811
1750	-512.8826	-501.5065	-11.37607	201338	11.38063	0.997169	0.999275	1.00072	1.00283	4.257135
1760	-512.6247	-495.6065	-17.0182	424163.7	11.53121	0.998049	0.999501	1.0005	1.00195	4.74636
1770	-537.5962	-514.5868	-23.00932	913254.4	7.723529	0.99867	0.99966	1.00034	1.00133	5.314131
1780	-520.0462	-499.242	-20.80426	788267.3	10.83516	0.998569	0.999634	1.00037	1.00143	5.120482
1790	-536.5379	-506.736	-29.80187	131485.9	7.256361	0.996497	0.999102	1.00089	1.00351	6.166698
1800	-524.696	-502.1627	-22.53331	196813.2	8.187876	0.997136	0.999267	1.00073	1.00287	5.306933
1810	-526.6433	-509.0444	-17.59889	129018.7	14.56725	0.996463	0.999094	1.0009	1.00354	4.573574
1820	-526.9819	-507.7361	-19.24589	565180.2	10.29739	0.99831	0.999568	1.00043	1.00169	4.994878
1830	-518.8033	-509.1214	-9.681955	379104.4	12.09362	0.997936	0.999472	1.00053	1.00207	4.110531
1840	-520.5872	-511.5777	-9.009545	621224.6	11.77395	0.998388	0.999588	1.00041	1.00161	4.054417
1850	-531.5222	-508.5348	-22.98742	707402	7.094087	0.998489	0.999614	1.00039	1.00151	5.189158
1860	-511.8329	-504.6029	-7.230005	203963.2	10.12751	0.997187	0.99928	1.00072	1.00282	3.811788
1870	-503.5239	-490.5807	-12.94329	4496.256	10.73839	0.981108	0.995095	1.00478	1.01902	4.393777
1880	-513.7087	-499.7978	-13.91093	42370.92	10.45124	0.993832	0.998416	1.00157	1.00618	4.480313
1890	-516.2344	-505.5225	-10.71188	345009.9	10.95802	0.997837	0.999446	1.00055	1.00216	4.192301
1900	-534.4936	-507.5049	-26.98865	689576.5	8.742268	0.99847	0.999609	1.00039	1.00153	5.84954
1910	-517.5542	-494.8973	-22.65698	200309	11.34779	0.997161	0.999273	1.00072	1.00284	5.251154
1920	-510.3938	-488.996	-21.39775	370112.6	9.019067	0.997911	0.999466	1.00053	1.00209	5.220242
1930	-511.6509	-489.4745	-22.17644	435112.7	8.749032	0.998074	0.999507	1.00049	1.00193	5.299343
1940	-502.7769	-492.8222	-9.954703	699117.7	11.00379	0.99848	0.999611	1.00039	1.00152	4.124539
1950	-497.2166	-488.737	-8.479625	827553.5	10.38438	0.998603	0.999643	1.00036	1.0014	3.955901
1960	-510.0204	-497.7109	-12.3095	83455.78	10.33864	0.995603	0.998873	1.00112	1.0044	4.322954
1970	-510.2548	-496.4062	-13.84862	258869.2	10.44799	0.997503	0.999361	1.00064	1.0025	4.474286
1980	-516.7545	-500.096	-16.65842	807839.3	9.936355	0.998586	0.999638	1.00036	1.00141	4.740043
1990	-509.0404	-499.2281	-9.812261	268251.5	12.36699	0.997547	0.999372	1.00063	1.00246	4.117964
2000	-504.582	-488.7534	-15.82858	199144	13.70508	0.997153	0.999271	1.00073	1.00285	4.517672
2010	-522.0978	-499.1117	-22.9861	925363.5	9.971864	0.998679	0.999662	1.00034	1.00132	5.37525
2020	-509.559	-495.0536	-14.50541	924978.6	12.22348	0.998679	0.999662	1.00034	1.00132	4.503906
2030	-506.6693	-496.9624	-9.706893	709648.5	12.73315	0.998492	0.999614	1.00038	1.00151	4.102387
2040	-512.8203	-500.3218	-12.49851	586397	13.11968	0.998341	0.999576	1.00042	1.00166	4.304659
2050	-537.4689	-509.7316	-27.7373	564957.3	7.900272	0.998309	0.999568	1.00043	1.00169	5.935288
2060	-537.5586	-505.3931	-32.16554	853011.7	7.887966	0.998624	0.999648	1.00035	1.00138	6.496173
2070	-525.4899	-510.4698	-15.02009	971587.6	12.39195	0.998711	0.99967	1.00033	1.00129	4.537824
2080	-516.834	-501.8734	-14.96062	310090.1	10.44488	0.997718	0.999416	1.00058	1.00228	4.580689
2090	-525.9824	-501.8129	-24.16944	948274.7	10.36509	0.998695	0.999666	1.00033	1.00131	5.468205
2100	-516.3034	-500.575	-15.72849	45664.1	11.55954	0.994058	0.998474	1.00151	1.00595	4.633492
2110	-528.9306	-506.4894	-22.44116	344940.9	9.155605	0.997837	0.999446	1.00055	1.00217	5.33707
2120	-542.1164	-513.6467	-28.46971	194636.9	7.430239	0.99712	0.999263	1.00073	1.00288	6.000953
2130	-543.9965	-513.1631	-30.83337	597244.3	8.042322	0.998356	0.999579	1.00042	1.00165	6.324902
2140	-521.2654	-498.1163	-23.14914	778911.3	8.666413	0.99856	0.999632	1.00037	1.00144	5.408172
2150	-530.2681	-500.9458	-29.32233	706529.4	7.206584	0.998488	0.999613	1.00039	1.00151	6.095419
2160	-536.6444	-510.532	-26.11248	58766.85	6.55729	0.994761	0.998656	1.00133	1.00525	5.494931
2170	-518.084	-496.8597	-21.22431	831525.5	9.586041	0.998606	0.999644	1.00036	1.00139	5.205923
2180	-508.542	-491.2078	-17.33413	310795.8	10.97085	0.997721	0.999417	1.00058	1.00228	4.796226
2190	-517.8148	-497.9264	-19.8884	645686	8.047778	0.998419	0.999596	1.0004	1.00158	4.964778
2200	-520.3987	-500.0668	-20.33187	540146.2	8.45403	0.998271	0.999558	1.00044	1.00173	5.066136
2210	-524.094	-505.485	-18.609	73013.62	10.00968	0.9953	0.998795	1.0012	1.00471	4.936185
2220	-516.5497	-493.7337	-22.81601	961582	9.428811	0.998704	0.999669	1.00033	1.0013	5.375429
2230	-521.8481	-498.2445	-23.60361	350190.7	11.69312	0.997853	0.999451	1.00055	1.00215	5.30187
2240	-517.1913	-496.8847	-20.30654	577638.9	9.610447	0.998328	0.999572	1.00043	1.00167	5.110192
2250	-509.518	-494.2457	-15.27227	322384.7	11.95049	0.997762	0.999427	1.00057	1.00224	4.579138
2260	-524.8964	-497.2766	-27.61978	514565.2	7.468461	0.998229	0.999547	1.00045	1.00177	5.890452
2270	-503.3578	-493.8742	-9.483567	481399.5	11.29525	0.998169	0.999531	1.00047	1.00183	4.089277
2280	-510.7439	-497.1081	-13.63586	550921.9	10.32096	0.998288	0.999562	1.00044	1.00171	4.450756
2290	-516.4225	-496.8023	-19.62027	764580.6	7.589234	0.998547	0.999628	1.00037	1.00145	4.847271
2300	-520.6704	-500.5121	-20.1583	242327.9	8.210083	0.997419	0.999339	1.00066	1.00258	5.019583
2310	-520.1443	-491.772	-28.37229	169268.6	7.180149	0.996912	0.999209	1.00079	1.00309	5.96018
2320	-510.305	-491.2672	-19.03772	420095	10.99675	0.99804	0.999498	1.0005	1.00196	4.950312
2330	-513.3775	-498.4723	-14.90524	230268.4	13.64442	0.997352	0.999322	1.00068	1.00265	4.454393
2340	-510.4753	-489.4792	-20.99609	965463.5	9.91267	0.998707	0.999669	1.00033	1.00129	5.177157
2350	-515.5022	-502.8138	-12.68836	487701.7	11.75794	0.99818	0.999535	1.00046	1.00182	4.367188
2360	-517.3175	-500.079	-17.2385	286034.9	10.3141	0.997624	0.999392	1.00061	1.00238	4.799854
2370	-529.0243	-502.8916	-26.13274	735007.2	8.722354	0.998518	0.999621	1.00038	1.00148	5.751888
2380	-528.0553	-494.9544	-33.10094	729936.7	5.851012	0.998513	0.99962	1.00038	1.00149	6.383421
2390	-523.9084	-504.2527	-19.65576	62081.2	8.783983	0.994903	0.998692	1.0013	1.00511	5.013646
2400	-519.2472	-501.1627	-18.08441	116242.4	11.50996	0.996274	0.999045	1.00095	1.00373	4.839953
2410	-520.6279	-500.4885	-20.13936	479678.4	13.39962	0.998165	0.999531	1.00047	1.00184	4.861135
2420	-522.8519	-504.3152	-18.53668	241439	9.015687	0.997414	0.999338	1.00066	1.00259	4.90281
2430	-519.6981	-502.4616	-17.23652	849466.3	9.862945	0.998621	0.999647	1.00035	1.00138	4.797081
2440	-520.7503	-501.2526	-19.49772	244986.3	13.64476	0.997433	0.999343	1.00065	1.00257	4.790945
2450	-514.3434	-499.7532	-14.59015	394754.9	9.774016	0.997978	0.999483	1.00052	1.00202	4.52453
2460	-523.6212	-500.661	-22.96013	808757	8.884308	0.998587	0.999639	1.00036	1.00141	5.391897
2470	-526.7868	-503.4436	-23.34322	921951.9	10.48817	0.998676	0.999662	1.00034	1.00132	5.380311
2480	-524.9678	-498.3495	-26.61827	921951.9	6.58563	0.998676	0.999662	1.00034	1.00132	5.580624
2490	-523.8617	-496.5141	-27.34758	570215.7	9.205789	0.998317	0.99957	1.00043	1.00168	5.870141
