Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-920.8476	-843.1551	-77.69251	188114	3.270271	0.997071	0.99925	1.00075	1.00293	16.14189
10	-652.6073	-606.6052	-46.00204	479222.8	6.418249	0.998164	0.99953	1.00047	1.00184	8.54691
20	-561.2626	-534.6944	-26.56828	363141.6	10.88576	0.997891	0.99946	1.00054	1.00211	5.64708
30	-545.4432	-519.3061	-26.13714	727130.5	9.363549	0.99851	0.999619	1.00038	1.00149	5.731146
40	-527.1098	-503.7919	-23.31791	721234.9	11.2451	0.998504	0.999617	1.00038	1.0015	5.31848
50	-523.401	-510.5932	-12.80776	743136.7	12.87779	0.998526	0.999623	1.00038	1.00147	4.339588
60	-509.7888	-491.5108	-18.27808	697134.4	9.107082	0.998478	0.999611	1.00039	1.00152	4.879688
70	-508.933	-489.0337	-19.89924	901166.7	8.185752	0.998661	0.999658	1.00034	1.00134	4.984958
80	-513.9846	-488.5735	-25.41113	720958.6	8.507007	0.998503	0.999617	1.00038	1.0015	5.667859
90	-516.8048	-499.2617	-17.54311	269802.7	8.095143	0.997554	0.999374	1.00062	1.00245	4.681813
100	-523.9475	-497.3712	-26.57628	679823.2	10.35508	0.998459	0.999606	1.00039	1.00154	5.701356
110	-534.5194	-505.7337	-28.78568	429432.5	9.215903	0.998061	0.999504	1.00049	1.00194	6.0256
120	-524.2713	-501.0074	-23.26386	277563.3	7.589164	0.997588	0.999383	1.00062	1.00241	5.327361
130	-528.1976	-504.765	-23.43264	416734.6	7.547295	0.998032	0.999496	1.0005	1.00197	5.343002
140	-512.1664	-489.2533	-22.91309	497462.8	11.27726	0.998198	0.999539	1.00046	1.0018	5.27976
150	-505.876	-491.2203	-14.65575	765794.4	10.85066	0.998548	0.999629	1.00037	1.00145	4.552952
160	-508.6611	-492.8404	-15.82076	600826.8	11.64994	0.998361	0.999581	1.00042	1.00164	4.638008
170	-508.4782	-494.5388	-13.93935	456000.6	13.06908	0.998118	0.999519	1.00048	1.00188	4.417268
180	-508.0063	-498.445	-9.561327	678392.8	10.89676	0.998457	0.999605	1.00039	1.00154	4.085169
190	-506.0957	-495.6292	-10.46654	677584.6	10.13064	0.998456	0.999605	1.00039	1.00154	4.131584
200	-512.493	-497.9396	-14.55333	222734	9.606333	0.997308	0.999311	1.00069	1.00269	4.511295
210	-509.0359	-503.3567	-5.679215	673433.3	11.85666	0.998451	0.999604	1.0004	1.00155	3.773968
220	-520.7067	-513.6761	-7.030626	608276.5	11.64845	0.998371	0.999583	1.00042	1.00163	3.883448
230	-510.2199	-507.5748	-2.645053	715373	11.69417	0.998498	0.999616	1.00038	1.0015	3.509545
240	-509.551	-494.3814	-15.16963	332593.8	9.651427	0.997797	0.999436	1.00056	1.0022	4.577885
250	-505.897	-490.0673	-15.82975	490911.9	11.13218	0.998186	0.999536	1.00046	1.00181	4.655561
