Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-857.2626	-827.7351	-29.5275	709269.3	7.258771	0.998491	0.999614	1.00039	1.00151	6.129119
10	-665.3724	-631.5784	-33.79401	589567.7	8.289844	0.998345	0.999577	1.00042	1.00166	6.67371
20	-577.6522	-557.2715	-20.3807	396051.8	9.8593	0.997981	0.999483	1.00052	1.00202	5.115922
30	-544.7835	-529.6752	-15.10835	829688.2	13.2246	0.998605	0.999643	1.00036	1.0014	4.496985
40	-543.6922	-525.0095	-18.68267	867161.5	9.972665	0.998635	0.999651	1.00035	1.00137	4.94369
50	-541.0975	-524.2774	-16.82009	948457.9	10.20274	0.998695	0.999666	1.00033	1.00131	4.759153
60	-537.4051	-515.0492	-22.35593	282812.3	9.743637	0.997611	0.999388	1.00061	1.00239	5.319978
70	-532.4957	-503.7692	-28.72648	293881	8.53714	0.997656	0.9994	1.0006	1.00235	6.056615
80	-534.5252	-503.4977	-31.02751	929263.1	6.814238	0.998682	0.999663	1.00034	1.00132	6.289152
90	-538.286	-508.9343	-29.35163	849538.4	7.772462	0.998621	0.999647	1.00035	1.00138	6.136854
100	-524.0837	-500.685	-23.39863	715526.7	8.236968	0.998498	0.999616	1.00038	1.0015	5.416177
110	-533.7888	-508.7226	-25.06618	457835.9	9.263206	0.998122	0.99952	1.00048	1.00188	5.620461
120	-533.4371	-509.1724	-24.26461	288987.1	8.436372	0.997636	0.999395	1.0006	1.00237	5.530682
130	-525.2017	-494.3345	-30.86714	314786.9	10.69706	0.997735	0.99942	1.00058	1.00227	6.068727
140	-526.5306	-503.7303	-22.80029	22952.3	9.609421	0.991622	0.997845	1.00213	1.0084	5.369703
150	-534.4701	-495.8918	-38.57827	88292.38	8.439511	0.995725	0.998904	1.00109	1.00428	7.226829
160	-524.4231	-501.9513	-22.47178	82081.45	9.969127	0.995567	0.998863	1.00113	1.00444	5.323785
170	-527.3743	-499.1967	-28.17756	62724.24	9.090505	0.994929	0.998699	1.00129	1.00508	5.967722
180	-532.1004	-504.3913	-27.70916	27544.85	7.947592	0.992352	0.998033	1.00195	1.00767	5.933539
