Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-32977.02	-32962.01	-15.00652	7.320385e+07	0.160417	0.223636	0.0793688	0.120422	0.00561253	0.0967641	0.294909	0.0610306	0.124694	0.0447437	0.152552	0.0165931	0.225666	0.0783557	0.0334299	0.0447214	0.231025	0.188027	0.178983	0.185162	0.0740803	0.182839	0.00482372	0.368863	0.0100401	0.0867798	0.0451954	0.0256996	0.0308326	0.0787447	0.0210251	0.176689	0.202455	0.149406	0.0107036	0.0897275	0.0851298	0.229287	0.139133	0.0283323	0.080541	0.10277	0.0362065	0.173512	0.164285	0.146787	0.133702	0.138622	0.243093	0.999851	0.999962	1.00004	1.00015	0.224733	0.44408	0.102563	0.228623	0.8457347	4.805417
10	-24443.01	-24437.34	-5.669019	6.522965e+07	0.136897	0.0774924	0.106289	0.0814976	0.0228989	0.143873	0.208166	0.0795174	0.212783	0.0705393	0.110143	0.0361795	0.153981	0.0961949	0.0668911	0.0748862	0.0808542	0.119329	0.13135	0.232865	0.169129	0.151641	0.0132949	0.110451	0.0195754	0.116778	0.0412467	0.0300572	0.0140185	0.105486	0.0239203	0.0962634	0.0878471	0.0773595	0.009522	0.0480377	0.0312984	0.0180972	0.156715	0.0181349	0.0423717	0.163302	0.0844921	0.129082	0.303058	0.104167	0.0631262	0.39034	0.0102267	0.999843	0.99996	1.00004	1.00016	0.252402	0.340224	0.110707	0.296667	0.5043693	3.871667
20	-22597.12	-22593.07	-4.044995	6.024998e+07	0.067774	0.0955033	0.130851	0.0659666	0.0951409	0.107675	0.159074	0.0716553	0.112177	0.0824418	0.165459	0.094433	0.13205	0.113228	0.128183	0.064196	0.10658	0.104619	0.114522	0.120969	0.273071	0.112807	0.0342657	0.0911114	0.0245932	0.128217	0.0557061	0.0161317	0.0217089	0.111814	0.0319707	0.12559	0.0923356	0.0270562	0.0197829	0.0247821	0.0356016	0.0195087	0.0719238	0.0131923	0.0364459	0.144395	0.0647549	0.1082	0.319302	0.0825882	0.0333834	0.423873	0.032653	0.999836	0.999958	1.00004	1.00016	0.286966	0.320954	0.112217	0.279863	0.4843596	3.709264
30	-21938.65	-21934.45	-4.199789	4.75533e+07	0.0950744	0.0918581	0.108244	0.0809931	0.102391	0.115072	0.137094	0.105669	0.103607	0.0857496	0.157653	0.126263	0.120389	0.13762	0.110682	0.0666947	0.103546	0.109489	0.117766	0.114103	0.273071	0.112807	0.105	0.140576	0.0216866	0.0433428	0.0460281	0.0210095	0.0379397	0.092344	0.022941	0.134448	0.0747695	0.0311476	0.0152114	0.019428	0.0416453	0.0213539	0.0712524	0.0431535	0.0390255	0.112829	0.0137799	0.112281	0.32248	0.0691936	0.0204297	0.439864	0.0357516	0.999816	0.999953	1.00005	1.00018	0.321232	0.304362	0.109011	0.265395	0.449994	3.724744
40	-21850.06	-21845.73	-4.336245	4.018228e+07	0.0900483	0.0986316	0.119168	0.081799	0.103545	0.138831	0.139645	0.0800374	0.116563	0.0918391	0.13436	0.103528	0.0996113	0.13762	0.136184	0.073093	0.0969402	0.104145	0.124986	0.128303	0.182336	0.104471	0.21541	0.0943301	0.0455837	0.0277956	0.0650477	0.0261122	0.0223697	0.0810258	0.0224863	0.182535	0.11933	0.0385028	0.0241	0.0244776	0.0345988	0.0528793	0.0440578	0.028628	0.0213294	0.0668122	0.0152914	0.104822	0.315193	0.0692013	0.0144063	0.464891	0.031487	0.9998	0.999949	1.00005	1.0002	0.324891	0.299422	0.111366	0.264321	0.4340893	3.738389
50	-21817.55	-21813.63	-3.923286	5.025462e+07	0.092734	0.102544	0.120678	0.0731809	0.0813711	0.138831	0.148642	0.0809369	0.116563	0.0918391	0.149523	0.133228	0.125556	0.14783	0.125561	0.0665177	0.082478	0.110475	0.11765	0.115752	0.186742	0.131269	0.242482	0.098983	0.0686626	0.028196	0.0577033	0.0279142	0.0215424	0.0816521	0.015979	0.132226	0.0669432	0.0387556	0.0354986	0.013078	0.0388655	0.0584189	0.0240717	0.00501073	0.0370261	0.0452714	0.0189114	0.105711	0.305703	0.0674777	0.0218936	0.468835	0.0303793	0.999821	0.999954	1.00005	1.00018	0.32153	0.296324	0.12056	0.261586	0.4257312	3.697094
60	-21813.41	-21807.81	-5.59502	6.161784e+07	0.0986797	0.10768	0.120678	0.0919416	0.0836159	0.108568	0.169588	0.0940393	0.124587	0.0859582	0.169704	0.0938257	0.10894	0.1465	0.13553	0.0885845	0.107027	0.141167	0.119153	0.159729	0.18817	0.116022	0.26051	0.108221	0.0734476	0.0391449	0.0673016	0.0230947	0.0297557	0.0766904	0.0162421	0.144692	0.0541195	0.0320455	0.0328642	0.0209627	0.0445231	0.0556434	0.0117442	0.0168434	0.0324094	0.0391222	0.0252032	0.103112	0.298187	0.0751165	0.0163663	0.479093	0.0281245	0.999838	0.999958	1.00004	1.00016	0.309981	0.301934	0.128325	0.25976	0.4257312	3.864267
70	-21816.63	-21809.89	-6.735238	7.667086e+07	0.0813373	0.112832	0.123815	0.0719317	0.0922362	0.13561	0.186909	0.0891463	0.131716	0.088259	0.169704	0.11364	0.13174	0.151526	0.124572	0.0825262	0.0846767	0.123926	0.118487	0.169855	0.163616	0.133832	0.209501	0.0964768	0.124169	0.0298165	0.0569995	0.0238482	0.0291191	0.0724305	0.0149204	0.177163	0.0866883	0.0371394	0.03472	0.0256113	0.0425695	0.0741069	0.0299256	0.030496	0.0260008	0.0582882	0.0164041	0.103747	0.300024	0.070349	0.0146763	0.482044	0.0291604	0.999855	0.999963	1.00004	1.00014	0.309981	0.301934	0.128325	0.25976	0.413006	3.978289
80	-21808.42	-21803.26	-5.167433	5.92301e+07	0.0899467	0.10541	0.126107	0.0861814	0.0899283	0.122326	0.120809	0.0909492	0.123291	0.0919515	0.18404	0.109659	0.12031	0.149927	0.124572	0.0802407	0.102024	0.135952	0.115725	0.127384	0.213794	0.115088	0.209501	0.109469	0.0860433	0.03533	0.0536825	0.0144746	0.0256605	0.0816771	0.0174538	0.148033	0.0612445	0.0335066	0.0248928	0.00679367	0.0504271	0.0791044	0.0263166	0.0285393	0.0299086	0.0428135	0.0310161	0.107028	0.309511	0.0711021	0.0191413	0.47261	0.0206069	0.999835	0.999958	1.00004	1.00017	0.309421	0.301224	0.128023	0.261332	0.4135859	3.821508
90	-21807.86	-21803.14	-4.723403	5.718502e+07	0.078171	0.119013	0.109714	0.0813622	0.0947311	0.123704	0.158788	0.0883723	0.110008	0.0835293	0.18404	0.103829	0.109933	0.135405	0.140889	0.0652722	0.0913669	0.120045	0.12559	0.133285	0.194632	0.118003	0.235545	0.0968109	0.0722058	0.0358091	0.0607906	0.0131497	0.0305669	0.0772512	0.0113006	0.158006	0.0704011	0.0258103	0.0237323	0.0054128	0.0388483	0.0752343	0.0382854	0.028703	0.0322296	0.0481566	0.0291734	0.0998377	0.317215	0.0726292	0.0196177	0.466873	0.0238273	0.999832	0.999957	1.00004	1.00017	0.304278	0.303468	0.128977	0.263278	0.419922	3.777105
