Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	part_rate[1]	part_rate[2]	part_rate_mult[1]	part_rate_mult[2]	pinvar[1]	pinvar[2]	TL
100	-21849.16	-21797.05	-52.10606	9.48033e+07	1.64823e+07	0.198643	0.239859	0.220342	0.169509	0.185865	0.22219	0.310764	0.185819	0.19285	0.177451	0.279834	0.190223	0.232739	0.267088	0.253041	0.196785	0.166247	0.211199	0.257587	0.264599	0.387863	0.191192	0.426537	0.0528756	0.205368	0.187377	0.0199122	0.130745	0.0552141	0.0475814	0.0567579	0.033653	0.0575645	0.0560068	0.0833306	0.178056	0.0590063	0.0796988	0.130116	0.0564647	0.0798454	0.0535278	0.2799	0.946556	1.05344	0.473278	0.526722	0.448971	0.407791	7.331228
110	-21862.81	-21813.86	-48.95231	3.33434e+07	7.02462e+07	0.168401	0.240484	0.1945	0.151377	0.211661	0.252152	0.308648	0.172336	0.196316	0.166833	0.289527	0.229847	0.180213	0.267088	0.23183	0.127901	0.14966	0.259469	0.194259	0.229035	0.347167	0.229584	0.426537	0.0360085	0.142952	0.166843	0.0443612	0.078729	0.121764	0.0554292	0.0555357	0.0471939	0.0498266	0.0483877	0.119243	0.112503	0.0465576	0.0853258	0.0894681	0.0991307	0.0920446	0.0488052	0.25092	0.946556	1.05344	0.473278	0.526722	0.445054	0.439587	7.015853
120	-21866.13	-21819	-47.12291	3.29299e+07	4.42505e+07	0.134921	0.187428	0.194402	0.189833	0.163049	0.262153	0.302254	0.153403	0.197557	0.166723	0.268715	0.192015	0.221568	0.226147	0.231217	0.184235	0.14713	0.210742	0.210575	0.245261	0.325448	0.208768	0.320758	0.0537303	0.120049	0.223605	0.0517915	0.114364	0.076277	0.0449705	0.0626736	0.0773673	0.0277526	0.0400626	0.0890522	0.161417	0.0408734	0.0724342	0.120267	0.0782874	0.070077	0.056757	0.306801	0.989372	1.01063	0.494686	0.505314	0.433155	0.444085	6.832913
130	-21848.47	-21799.29	-49.18142	7.24485e+07	9.11095e+07	0.133646	0.206617	0.194402	0.178233	0.172829	0.208005	0.302254	0.148793	0.201937	0.211908	0.324656	0.193164	0.196293	0.257977	0.246795	0.152608	0.160891	0.241952	0.208126	0.279164	0.350531	0.226865	0.418456	0.0451183	0.183675	0.151826	0.0519425	0.120194	0.057526	0.0474857	0.056213	0.0629251	0.0351856	0.0413005	0.105195	0.111789	0.0574399	0.0961973	0.105832	0.0741146	0.0897545	0.0464788	0.28247	0.989372	1.01063	0.494686	0.505314	0.460784	0.447302	7.038764
140	-21846.61	-21795.44	-51.16891	7.53012e+07	9.23114e+07	0.160737	0.187978	0.185991	0.157856	0.15409	0.250078	0.327742	0.165807	0.207751	0.179893	0.316023	0.193164	0.196293	0.264989	0.26573	0.170676	0.170654	0.230941	0.244816	0.288381	0.38088	0.215206	0.47304	0.0331203	0.2027	0.149892	0.058714	0.0946874	0.0643817	0.0993042	0.0409718	0.0319115	0.0670686	0.0439488	0.098294	0.111789	0.0412528	0.0910577	0.136402	0.0716873	0.0759825	0.0452468	0.290385	1.00829	0.991712	0.504144	0.495856	0.419837	0.4289	7.237513
150	-21861.01	-21809.41	-51.60603	2.50649e+07	9.82625e+07	0.200734	0.202284	0.240032	0.127641	0.176251	0.256627	0.310235	0.166953	0.187625	0.223243	0.284072	0.193164	0.22115	0.281534	0.254739	0.146932	0.203802	0.240297	0.244289	0.234829	0.382413	0.190018	0.408985	0.0598283	0.226294	0.1389	0.0645565	0.0838346	0.099363	0.0646578	0.083507	0.0402158	0.0660394	0.0381242	0.115916	0.116555	0.0624607	0.0502396	0.143332	0.0586157	0.0808991	0.0694471	0.240591	1.0142	0.985804	0.507098	0.492902	0.419837	0.421195	7.281225
160	-21864.25	-21809.24	-55.01428	1.7252e+07	3.46097e+07	0.195346	0.189886	0.240032	0.146157	0.173518	0.28814	0.407572	0.136628	0.288941	0.182962	0.347561	0.214143	0.270985	0.257872	0.254739	0.194304	0.195004	0.217289	0.243304	0.24841	0.40915	0.249793	0.400141	0.0691771	0.226294	0.131558	0.0511541	0.0903847	0.0914112	0.0633168	0.048709	0.0339143	0.0612536	0.0283524	0.0984159	0.132382	0.0447658	0.108678	0.110024	0.0585402	0.107946	0.0517965	0.262101	0.964149	1.03585	0.482075	0.517925	0.417622	0.402331	7.62205
170	-21851.26	-21796.94	-54.31881	1.20954e+06	6.02732e+07	0.173549	0.247964	0.209308	0.162314	0.193143	0.245773	0.293675	0.207111	0.213228	0.198265	0.347434	0.217243	0.264175	0.246238	0.233711	0.12178	0.158169	0.259141	0.240992	0.277803	0.38331	0.261222	0.487275	0.0380811	0.187116	0.206685	0.03458	0.120602	0.0705008	0.0671526	0.0507161	0.0600738	0.0708958	0.034154	0.0810278	0.130457	0.0602906	0.0800106	0.125597	0.0718281	0.0835994	0.0623797	0.273932	1.02942	0.970579	0.514711	0.485289	0.402343	0.440493	7.552503
180	-21844.11	-21792.09	-52.02248	8.82673e+06	9.68732e+07	0.166487	0.218156	0.230701	0.173828	0.204057	0.253759	0.280665	0.161649	0.217768	0.159941	0.307144	0.241511	0.218002	0.283924	0.269593	0.143487	0.179407	0.2265	0.278367	0.27819	0.375929	0.230889	0.408287	0.0370445	0.218371	0.175347	0.0457848	0.133459	0.0722742	0.0506673	0.0577062	0.0361907	0.0534375	0.0392384	0.0988568	0.131458	0.025933	0.069044	0.118597	0.0542907	0.10786	0.0304648	0.258603	1.02942	0.970579	0.514711	0.485289	0.39455	0.440493	7.32287
190	-21858.45	-21801.73	-56.71367	7.95827e+07	3.20419e+07	0.175703	0.22677	0.212004	0.1392	0.180073	0.29575	0.34129	0.165715	0.208866	0.208752	0.339617	0.23366	0.240391	0.2877	0.307844	0.176776	0.189605	0.225275	0.249779	0.246868	0.349094	0.211402	0.480541	0.0377091	0.218371	0.189233	0.0288116	0.114294	0.0791176	0.0941212	0.0729992	0.0447961	0.0667254	0.0675545	0.0935822	0.189104	0.0394578	0.0874156	0.122423	0.0971737	0.0786996	0.0398394	0.337886	1.02942	0.970579	0.514711	0.485289	0.396102	0.43051	7.791989
200	-21866.04	-21807.37	-58.67286	1.9048e+07	5.35164e+07	0.169116	0.234823	0.238742	0.148021	0.223717	0.262357	0.310524	0.187337	0.26469	0.164422	0.384875	0.230583	0.227083	0.309731	0.322924	0.145962	0.168303	0.202908	0.255135	0.262351	0.435445	0.25294	0.485292	0.0533765	0.264115	0.15211	0.050841	0.0922981	0.106485	0.0544432	0.092266	0.0365864	0.0499139	0.0663884	0.184452	0.174446	0.0503148	0.0793022	0.119797	0.0697411	0.0635649	0.0224745	0.317711	1.04782	0.952177	0.523911	0.476089	0.370361	0.43051	7.987908
210	-21847.5	-21789.63	-57.86213	4.23142e+07	1.66149e+07	0.184246	0.209995	0.214439	0.148021	0.180116	0.293655	0.339634	0.203681	0.23393	0.185823	0.338736	0.258171	0.207924	0.264194	0.259418	0.149726	0.183316	0.233172	0.279152	0.283405	0.402217	0.26045	0.447767	0.0435844	0.230196	0.221586	0.0418725	0.0945233	0.0974886	0.0667618	0.0424799	0.0415478	0.0941142	0.0493033	0.122488	0.134003	0.0512791	0.106194	0.126077	0.101297	0.0949386	0.0416731	0.344239	1.02335	0.97665	0.511675	0.488325	0.375572	0.402511	7.906835
220	-21854.02	-21799.64	-54.37721	1.48287e+07	4.9111e+07	0.159575	0.239408	0.254144	0.123105	0.188073	0.270494	0.339634	0.245524	0.221152	0.194501	0.346444	0.211859	0.24609	0.286956	0.276973	0.141216	0.18916	0.253242	0.259788	0.30052	0.409981	0.233019	0.432329	0.0359889	0.134545	0.15669	0.024589	0.111413	0.0775857	0.0792773	0.08155	0.0357609	0.0584151	0.0549121	0.106695	0.125701	0.0334186	0.0713837	0.115233	0.0383502	0.0971494	0.0338643	0.262637	1.00718	0.992817	0.503592	0.496408	0.415339	0.41598	7.558343
