Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	part_rate[1]	part_rate[2]	part_rate_mult[1]	part_rate_mult[2]	pinvar[1]	pinvar[2]	TL
100	-21854.14	-21798.15	-55.98187	5.79052e+07	5.70983e+07	0.168876	0.188115	0.2384	0.156272	0.196722	0.235043	0.360551	0.203514	0.181791	0.184422	0.374426	0.219887	0.219645	0.273588	0.256037	0.151095	0.227698	0.277236	0.225691	0.300897	0.426032	0.225064	0.486788	0.0706424	0.0477122	0.056463	0.0985743	0.0890281	0.143881	0.0395807	0.0680988	0.0591213	0.111195	0.124607	0.0541629	0.282845	0.0205698	0.0348926	0.1256	0.0132605	0.0791459	0.266343	0.155294	0.994987	1.00501	0.497493	0.502507	0.397059	0.415261	7.718809
110	-21849.62	-21791.67	-57.95205	1.8875e+07	4.02176e+07	0.193888	0.247941	0.239355	0.174038	0.196722	0.268796	0.364026	0.202018	0.241579	0.208165	0.295874	0.254367	0.233015	0.28136	0.319644	0.137215	0.213808	0.284986	0.253656	0.348468	0.434621	0.23917	0.462475	0.0911016	0.0513898	0.0300822	0.0725903	0.0496221	0.124277	0.0400039	0.0593346	0.0724838	0.079773	0.120496	0.0616241	0.217201	0.0239083	0.0104056	0.171147	0.0417976	0.062502	0.2735	0.167401	0.994987	1.00501	0.497493	0.502507	0.396422	0.39237	7.915827
120	-21852.71	-21795.95	-56.75803	3.60387e+07	2.94629e+07	0.154404	0.259342	0.223646	0.205417	0.184575	0.284397	0.307628	0.210397	0.267749	0.202643	0.295874	0.226514	0.241646	0.29165	0.279999	0.15635	0.159849	0.216031	0.274045	0.327652	0.37788	0.22362	0.426831	0.0983681	0.0629765	0.0549867	0.0685052	0.0487043	0.108726	0.0398338	0.0632255	0.0672925	0.139867	0.13572	0.0536779	0.199577	0.0397533	0.0109398	0.154111	0.032047	0.0499769	0.340387	0.229611	0.994987	1.00501	0.497493	0.502507	0.410746	0.39237	7.796425
130	-21862.53	-21808.4	-54.13343	7.41679e+07	6.16555e+07	0.160512	0.211349	0.200135	0.137278	0.162766	0.29978	0.35143	0.180746	0.217543	0.150295	0.300971	0.240036	0.239012	0.261838	0.249951	0.156478	0.197678	0.293132	0.266639	0.2606	0.37788	0.217375	0.426831	0.0985807	0.0307868	0.0575053	0.0885279	0.0462707	0.131597	0.0352887	0.064953	0.0929193	0.122838	0.160538	0.0579293	0.228384	0.03118	0.0191993	0.147955	0.0333764	0.0294579	0.306394	0.190027	0.976986	1.02301	0.488493	0.511507	0.41014	0.405627	7.533965
140	-21856.19	-21800.65	-55.5482	6.29457e+07	6.78213e+07	0.168207	0.274038	0.2437	0.1886	0.212307	0.263347	0.295063	0.150797	0.218407	0.19671	0.295861	0.218083	0.221804	0.261838	0.256483	0.183829	0.181254	0.240666	0.244403	0.274898	0.394557	0.250833	0.493245	0.0755753	0.0655144	0.0536255	0.105682	0.0439831	0.140825	0.0398584	0.0566727	0.0630632	0.0860205	0.128627	0.0385775	0.248297	0.0302356	0.0155071	0.149096	0.0215411	0.0578898	0.345332	0.18059	0.976986	1.02301	0.488493	0.511507	0.409795	0.385024	7.675442
150	-21846.69	-21792.63	-54.06051	3.9512e+07	4.09779e+07	0.187299	0.236705	0.214179	0.142043	0.176861	0.263347	0.380844	0.167638	0.250724	0.1753	0.305844	0.226691	0.221804	0.26566	0.274453	0.138627	0.187821	0.203241	0.267735	0.261224	0.39729	0.251657	0.478748	0.085809	0.0700664	0.0640327	0.0640098	0.0682153	0.129649	0.0372212	0.0332564	0.0707791	0.118552	0.128579	0.0485885	0.231642	0.0182041	0.0435642	0.142112	0.0272819	0.0320529	0.271639	0.165686	0.966622	1.03338	0.483311	0.516689	0.430282	0.418785	7.526673
160	-21856.25	-21804.86	-51.39105	3.87062e+07	7.09266e+07	0.180232	0.193287	0.207703	0.151344	0.164434	0.22808	0.273593	0.163177	0.232521	0.184144	0.318281	0.232813	0.252171	0.316323	0.266688	0.135105	0.135842	0.207116	0.274837	0.285821	0.353323	0.197304	0.450887	0.045409	0.0661112	0.0425374	0.087344	0.0539123	0.131886	0.0339203	0.0195955	0.073131	0.124255	0.159914	0.0772645	0.202718	0.0262823	0.0691964	0.120959	0.0196511	0.0415168	0.30337	0.155727	0.945119	1.05488	0.47256	0.52744	0.422327	0.418785	7.259727
170	-21847.45	-21796.37	-51.07889	3.6325e+07	3.21088e+07	0.182422	0.184487	0.196871	0.142318	0.159253	0.256184	0.342665	0.167876	0.204011	0.179664	0.307225	0.247079	0.224021	0.263609	0.256425	0.154574	0.165896	0.219741	0.243585	0.272073	0.393541	0.241853	0.436262	0.0449063	0.0711616	0.0523174	0.0752783	0.0319328	0.110621	0.0434447	0.0427468	0.085748	0.106421	0.117851	0.0558558	0.151676	0.0254111	0.0311822	0.140192	0.0415905	0.0597082	0.338618	0.160213	0.945119	1.05488	0.47256	0.52744	0.438598	0.41427	7.228511
180	-21850.61	-21796.5	-54.11033	3.93464e+07	2.89805e+07	0.210059	0.220542	0.225648	0.142198	0.170535	0.237131	0.319713	0.147076	0.172439	0.182587	0.308621	0.222676	0.22272	0.278352	0.265511	0.168647	0.19145	0.257029	0.243585	0.272073	0.380894	0.257846	0.534922	0.064919	0.0466917	0.054417	0.106902	0.0578132	0.124221	0.0579893	0.036874	0.0843923	0.12061	0.155967	0.0599383	0.246734	0.0473093	0.0215537	0.140192	0.00925763	0.0508185	0.259956	0.152845	0.94582	1.05418	0.47291	0.52709	0.43125	0.401396	7.531655
190	-21856	-21800.09	-55.91818	7.44244e+07	6.27212e+07	0.186205	0.188701	0.244521	0.156166	0.170535	0.269937	0.341535	0.1834	0.243894	0.236942	0.300168	0.262458	0.208552	0.293741	0.271954	0.164363	0.206083	0.245706	0.274952	0.315504	0.433419	0.257846	0.437723	0.0333237	0.0417622	0.0569737	0.0699234	0.0459067	0.0941015	0.0349826	0.0583222	0.0922059	0.0925433	0.121514	0.0979555	0.221937	0.0236952	0.0295722	0.15677	0.0103585	0.0799507	0.300333	0.156003	0.942127	1.05787	0.471064	0.528936	0.431698	0.401396	7.71244
200	-21856.54	-21798.68	-57.85978	7.96549e+07	8.59662e+07	0.213944	0.326491	0.238756	0.145682	0.170535	0.266313	0.32183	0.215926	0.228456	0.194559	0.310627	0.256496	0.241785	0.259932	0.255984	0.149992	0.215833	0.245706	0.2926	0.291608	0.43599	0.223859	0.437723	0.0573847	0.0553067	0.0596829	0.0716089	0.0709323	0.114666	0.0503732	0.0242989	0.0669719	0.112068	0.118066	0.103098	0.271668	0.0578099	0.0526269	0.12698	0.0201778	0.0458757	0.307967	0.178409	0.954065	1.04593	0.477033	0.522967	0.415404	0.385964	7.9066
210	-21863.14	-21805.4	-57.74684	9.81562e+07	6.26546e+07	0.15584	0.200216	0.250228	0.16283	0.232322	0.257703	0.366494	0.202789	0.225861	0.188162	0.342143	0.239292	0.226509	0.271551	0.297768	0.171035	0.152534	0.268496	0.247638	0.319516	0.455241	0.251882	0.415924	0.0981976	0.0809861	0.0508798	0.0668801	0.040297	0.0973855	0.0519011	0.0218147	0.138096	0.0771681	0.14214	0.0756886	0.241339	0.040794	0.0501178	0.144277	0.0457077	0.0425284	0.323129	0.164009	0.954065	1.04593	0.477033	0.522967	0.404715	0.407501	7.895306
220	-21847.72	-21797.5	-50.21906	4.94702e+07	7.00452e+07	0.200059	0.234038	0.228084	0.145995	0.181082	0.261595	0.326731	0.172797	0.209201	0.157693	0.309769	0.189481	0.201709	0.240665	0.2491	0.183116	0.165819	0.261219	0.207131	0.270307	0.335411	0.264808	0.398968	0.0546681	0.0705584	0.0434406	0.0586884	0.0550545	0.0964988	0.0264913	0.0350409	0.0727897	0.0925251	0.109532	0.0721386	0.201919	0.0259211	0.0123098	0.144277	0.0342833	0.0238609	0.30238	0.215374	0.973555	1.02645	0.486777	0.513223	0.451997	0.434653	7.142528
