Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	part_rate[1]	part_rate[2]	part_rate_mult[1]	part_rate_mult[2]	pinvar[1]	pinvar[2]	TL
0	-37397.8	-37365.39	-32.41105	2.93218e+07	8.66927e+07	0.0929976	0.0192161	0.118038	0.0797565	0.281319	0.0323857	0.0173012	0.00473588	0.0576086	0.18307	0.34315	0.0546194	0.201936	0.256482	0.00331323	0.0224552	0.0569592	0.0754133	0.0787942	0.200819	0.18098	0.129327	0.0881564	0.1857	0.41257	0.505882	0.309301	0.101408	0.193697	0.104416	0.0434476	0.029141	0.00449825	0.179447	0.0617638	0.0655664	0.230479	0.0168367	0.0623832	0.0356381	0.0724466	0.113868	0.0544045	1.61213	0.387868	0.806066	0.193934	0.414085	0.821367	5.361727
10	-28042.51	-28006.6	-35.91683	7.14823e+07	7.31912e+07	0.264784	0.0358635	0.191466	0.0867699	0.332664	0.0459893	0.108254	0.0315474	0.107988	0.388611	0.202929	0.134611	0.138521	0.200794	0.0413004	0.0410357	0.118717	0.104108	0.157306	0.533215	0.638202	0.166456	0.24655	0.101601	0.086426	0.0523215	0.154956	0.0184192	0.122118	0.0224085	0.0529199	0.0269521	0.00578107	0.0934189	0.0335245	0.091198	0.0759359	0.0168008	0.120785	0.153101	0.0387593	0.0849572	0.0422383	1.04041	0.959586	0.520207	0.479793	0.755107	0.68527	5.712305
20	-24102.58	-24062.84	-39.73488	6.72933e+07	2.2978e+07	0.491713	0.136613	0.225273	0.0949755	0.173948	0.0966109	0.167693	0.129047	0.156241	0.192944	0.208866	0.189482	0.183462	0.188346	0.223398	0.0971851	0.136011	0.215023	0.183361	0.421232	0.383176	0.187641	0.347046	0.0375888	0.0998541	0.0188613	0.0956769	0.0583489	0.0451498	0.0187985	0.0436103	0.027357	0.015434	0.108075	0.0201786	0.124197	0.086059	0.00788372	0.0675059	0.177428	0.0887195	0.0647207	0.0593757	0.861579	1.13842	0.430789	0.569211	0.530657	0.408399	6.09411
30	-22311.05	-22259.08	-51.97422	4.59035e+07	8.30625e+07	0.391553	0.165704	0.212622	0.119938	0.123683	0.287281	0.257132	0.194172	0.225985	0.192944	0.377789	0.220579	0.212981	0.280687	0.24842	0.124937	0.141103	0.255069	0.183361	0.248603	0.453206	0.23845	0.56236	0.107176	0.0880063	0.0212356	0.072019	0.066926	0.0552049	0.0369464	0.0400744	0.00744419	0.0486148	0.167273	0.0294075	0.32753	0.0628668	0.143392	0.0606011	0.0637845	0.10722	0.0520147	0.0417503	0.936681	1.06332	0.46834	0.53166	0.447488	0.437247	7.318044
40	-21956.91	-21905.53	-51.38022	4.20248e+07	4.21657e+07	0.228251	0.208269	0.205283	0.215553	0.155159	0.270609	0.285996	0.168863	0.225985	0.172875	0.336976	0.2001	0.247517	0.297663	0.241353	0.172613	0.148394	0.24113	0.260839	0.236464	0.391851	0.218503	0.422005	0.0726925	0.0640471	0.0265451	0.0723544	0.0926577	0.126588	0.032914	0.0673363	0.0146464	0.0851652	0.147669	0.0391716	0.25423	0.0395823	0.166013	0.113904	0.0525433	0.0356628	0.0778614	0.124807	1.01347	0.986532	0.506734	0.493266	0.397727	0.437247	7.258644
50	-21904.15	-21847.36	-56.78928	4.32653e+07	7.975e+07	0.171421	0.263466	0.246172	0.173409	0.227558	0.266097	0.274226	0.140405	0.266078	0.193604	0.410492	0.232572	0.206751	0.271832	0.290115	0.172608	0.1744	0.21562	0.255335	0.260564	0.378388	0.289611	0.455147	0.0841555	0.0823681	0.0278348	0.0892022	0.0498551	0.121794	0.0434782	0.0415771	0.0136377	0.122403	0.162519	0.063447	0.27689	0.069557	0.0880732	0.163791	0.0431818	0.0821225	0.151734	0.186057	1.00749	0.992509	0.503746	0.496254	0.397727	0.424676	7.79955
60	-21876	-21819.41	-56.58692	2.78169e+07	3.41933e+07	0.162422	0.264837	0.208242	0.184995	0.248926	0.219425	0.366251	0.188768	0.207726	0.20445	0.334389	0.218915	0.2078	0.248663	0.277174	0.160465	0.212486	0.244858	0.22435	0.305274	0.358626	0.232601	0.475147	0.0769668	0.0691816	0.0554332	0.0982612	0.0559234	0.146589	0.0448701	0.0814562	0.0761234	0.0766261	0.126882	0.0560258	0.229615	0.0359433	0.0332578	0.141454	0.0239351	0.0661138	0.307314	0.22055	1.03224	0.967761	0.516119	0.483881	0.397727	0.424676	7.779315
70	-21857.79	-21804.14	-53.65026	5.27857e+07	4.05831e+07	0.17285	0.186533	0.236324	0.197006	0.182091	0.259488	0.369314	0.157313	0.210579	0.224194	0.35174	0.219374	0.237452	0.248663	0.242372	0.186931	0.172988	0.214436	0.296859	0.299757	0.386717	0.235696	0.440915	0.0906713	0.0616498	0.0330349	0.0602633	0.0839169	0.116778	0.0344818	0.0272766	0.0766366	0.0804723	0.134916	0.0447165	0.180793	0.033349	0.0533596	0.133016	0.031829	0.0615797	0.223125	0.194193	1.03224	0.967761	0.516119	0.483881	0.38682	0.434706	7.485648
80	-21858.82	-21801.02	-57.80181	5.12521e+07	4.15474e+07	0.191647	0.253517	0.189557	0.178425	0.167167	0.238081	0.399918	0.169894	0.281717	0.23339	0.361236	0.224064	0.243116	0.256667	0.325011	0.168354	0.162402	0.268687	0.256349	0.299182	0.360721	0.251591	0.454308	0.0882461	0.0747136	0.0581985	0.0698672	0.0600598	0.142115	0.0319067	0.0304965	0.0907742	0.114994	0.163522	0.0341956	0.244338	0.0237342	0.0266638	0.147566	0.0530034	0.069388	0.247829	0.194193	1.04582	0.954179	0.52291	0.47709	0.397063	0.427624	7.900803
90	-21850.39	-21795.41	-54.97866	1.90525e+07	5.72385e+07	0.188994	0.246631	0.230614	0.178425	0.176645	0.243017	0.364236	0.179253	0.245731	0.151658	0.325222	0.231725	0.251426	0.305322	0.271091	0.149484	0.183222	0.290371	0.256001	0.255886	0.396619	0.234873	0.415637	0.0683096	0.0963854	0.0500891	0.101432	0.0586463	0.140519	0.0313644	0.0286353	0.0516099	0.104831	0.165122	0.0410811	0.186414	0.0531312	0.04264	0.131935	0.0336157	0.0486579	0.255109	0.156878	1.04711	0.952894	0.523553	0.476447	0.406624	0.427624	7.618488
