Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
100	-21831.31	-21826.05	-5.255828	7.003217e+07	0.083626	0.100859	0.0951057	0.0703307	0.0945166	0.106541	0.175151	0.0875276	0.0979301	0.11505	0.158967	0.107048	0.125978	0.128543	0.152674	0.0877167	0.109397	0.119138	0.116586	0.156424	0.198868	0.11455	0.224867	0.0875673	0.0146694	0.0350425	0.0451816	0.0332083	0.0227546	0.0467236	0.078894	0.0886798	0.125517	0.0219175	0.0146018	0.0473067	0.123972	0.0314232	0.0415585	0.0314855	0.0523939	0.0320842	0.0279714	0.0907927	0.325071	0.0869582	0.0285455	0.447068	0.0215639	0.999848	0.999961	1.00004	1.00015	0.299486	0.319808	0.119343	0.261364	0.4102455	3.830348
110	-21828.87	-21822.28	-6.587806	6.341613e+07	0.0925741	0.103785	0.138366	0.0653522	0.0755837	0.125426	0.168701	0.0929946	0.120925	0.0986475	0.147072	0.116703	0.100612	0.17909	0.153375	0.0799583	0.0977371	0.113886	0.132385	0.126157	0.222661	0.113788	0.22263	0.0424478	0.0329833	0.0290788	0.0414862	0.0308505	0.0463716	0.0583321	0.0738157	0.135773	0.156495	0.0469292	0.0309506	0.0551841	0.103506	0.0147575	0.0229281	0.0371739	0.0403882	0.0297191	0.0459674	0.0930777	0.329686	0.0877734	0.025468	0.451259	0.0127357	0.99984	0.999959	1.00004	1.00016	0.307398	0.310943	0.124816	0.256844	0.4102455	3.963546
120	-21815.41	-21809.74	-5.676039	7.167088e+07	0.0930497	0.105803	0.113779	0.0654164	0.0952008	0.110301	0.159635	0.0756901	0.109797	0.100283	0.173861	0.139997	0.115924	0.148645	0.134929	0.0967909	0.0994107	0.109507	0.124258	0.163416	0.202516	0.111653	0.200575	0.052862	0.020079	0.0274475	0.0414064	0.032133	0.0264015	0.0653626	0.0838779	0.0917725	0.1464	0.0545561	0.0276803	0.0731392	0.115551	0.0102515	0.0295625	0.0176484	0.0435445	0.0174825	0.0447739	0.0928126	0.328747	0.0783985	0.0267267	0.449974	0.0233412	0.99985	0.999962	1.00004	1.00015	0.299392	0.315211	0.116741	0.268656	0.4172809	3.872369
130	-21821.46	-21816.3	-5.159775	8.75321e+07	0.0930497	0.128134	0.10233	0.0926196	0.0952008	0.126473	0.159229	0.0966228	0.124525	0.0970033	0.14879	0.103225	0.100424	0.154232	0.140726	0.0776337	0.0994107	0.119982	0.133077	0.138819	0.182741	0.112646	0.192469	0.0496748	0.020543	0.0399199	0.0119188	0.021466	0.0273249	0.0735947	0.102169	0.0882248	0.129616	0.0426262	0.0353307	0.0548645	0.12503	0.00853375	0.0293165	0.0357377	0.0374783	0.023468	0.0445411	0.0940618	0.333172	0.0794537	0.0189158	0.456031	0.0183663	0.999864	0.999965	1.00003	1.00014	0.304121	0.320189	0.118585	0.257104	0.4165011	3.820742
140	-21812.27	-21806.47	-5.792389	9.960131e+07	0.0839021	0.0968304	0.100726	0.0851552	0.0814971	0.126473	0.177357	0.0913437	0.124527	0.117079	0.165989	0.10321	0.121896	0.133003	0.134047	0.0849464	0.08114	0.114343	0.114386	0.137053	0.18874	0.112646	0.225152	0.0572873	0.0238829	0.0357153	0.0310541	0.0258874	0.0598334	0.0798923	0.0807702	0.0923517	0.144289	0.0438995	0.0092006	0.06168	0.120874	0.0173182	0.0245575	0.0451986	0.0576687	0.0283737	0.0428262	0.0957255	0.314266	0.0808591	0.0228342	0.464097	0.0222187	0.999872	0.999968	1.00003	1.00013	0.305893	0.319374	0.118283	0.256449	0.4122213	3.884004
150	-21816.04	-21810.93	-5.107769	7.547188e+07	0.0731485	0.112551	0.135449	0.0694817	0.101222	0.125639	0.156211	0.0848918	0.130959	0.106347	0.151732	0.10321	0.0977142	0.12643	0.120494	0.0850265	0.0809197	0.110959	0.126201	0.131514	0.204385	0.112646	0.210121	0.0647565	0.0180038	0.0217379	0.0271215	0.0242696	0.0292203	0.0578886	0.0835741	0.0836594	0.144066	0.0578074	0.0259916	0.0793976	0.159136	0.0233524	0.0434158	0.0170304	0.0335379	0.0238541	0.0404679	0.0920474	0.311329	0.0790606	0.0228182	0.463771	0.030974	0.999854	0.999963	1.00004	1.00015	0.315928	0.306352	0.119226	0.258493	0.4163178	3.815542
160	-21824.15	-21817.36	-6.794624	7.023896e+07	0.0901084	0.109778	0.113375	0.0763128	0.101222	0.142923	0.191002	0.101071	0.101289	0.11584	0.152394	0.12189	0.137071	0.153551	0.124363	0.0733655	0.0888121	0.142713	0.13284	0.146173	0.200515	0.091206	0.228331	0.0426666	0.0106867	0.0244939	0.0213411	0.0198292	0.0207602	0.059058	0.0742407	0.0959792	0.162859	0.0627155	0.0309311	0.084059	0.124132	0.03081	0.0101915	0.0273712	0.0633461	0.0419103	0.0407012	0.0933335	0.307256	0.0756335	0.0246373	0.471352	0.0277872	0.999848	0.999961	1.00004	1.00015	0.31426	0.304734	0.116128	0.264877	0.4163178	3.984227
170	-21820.79	-21815.21	-5.57886	7.579875e+07	0.0839072	0.109778	0.108577	0.0891025	0.0975766	0.134714	0.192528	0.104239	0.118422	0.0872918	0.174843	0.110783	0.13854	0.147508	0.119009	0.0873873	0.0837296	0.127389	0.132344	0.131654	0.185962	0.12003	0.21074	0.0527534	0.0132719	0.034136	0.0189926	0.023696	0.040938	0.0532873	0.0794011	0.0458869	0.159538	0.0509033	0.014137	0.0798133	0.0803005	0.0235266	0.0231598	0.038859	0.0470123	0.0317922	0.0551934	0.0978658	0.334858	0.0710587	0.0265057	0.442842	0.0268698	0.999854	0.999962	1.00004	1.00015	0.307524	0.308895	0.113689	0.269892	0.4163178	3.862651
180	-21818.45	-21813.73	-4.71309	7.898856e+07	0.0972307	0.0924707	0.101674	0.0656453	0.0965311	0.125143	0.160856	0.0991219	0.113664	0.0792797	0.156463	0.12053	0.104715	0.145626	0.137215	0.0898291	0.0854199	0.111228	0.133066	0.147359	0.176524	0.104228	0.205065	0.0555446	0.0281462	0.0239386	0.0218924	0.020001	0.0391067	0.0729467	0.0693468	0.109196	0.138573	0.044029	0.0183856	0.0771167	0.115777	0.0243599	0.0342985	0.0283241	0.0303572	0.0419063	0.0339457	0.101133	0.346995	0.0672912	0.0264616	0.43237	0.0257494	0.999857	0.999963	1.00004	1.00014	0.308045	0.306477	0.117699	0.267779	0.4147745	3.776074
190	-21816.99	-21811.83	-5.160587	8.547153e+07	0.0975357	0.135473	0.107266	0.0703382	0.0810686	0.112042	0.168722	0.0836557	0.116379	0.107501	0.149186	0.105949	0.110827	0.132244	0.150467	0.0849298	0.109151	0.109649	0.132312	0.162462	0.194767	0.10829	0.212384	0.0538605	0.0253404	0.0278618	0.0333098	0.0303201	0.0417908	0.05088	0.0861889	0.101765	0.111912	0.0399601	0.0320243	0.0694499	0.103704	0.0147261	0.0301573	0.0268689	0.0435159	0.0247018	0.0298874	0.109808	0.290304	0.0730635	0.0201846	0.476866	0.0297732	0.999863	0.999965	1.00003	1.00014	0.309904	0.315	0.12092	0.254176	0.4118433	3.820824
