Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
10	0	-15822.93	-15835.17	12.23672	0.129387	0.0878332	0.0860891	0.104697	0.124443	0.0762119	0.125139	0.0660895	0.112681	0.182364	0.0911139	0.0766458	0.11481	0.0850408	0.0987993	0.143823	0.120578	0.0938777	0.118582	0.0972243	0.0918207	0.0928238	0.201231	0.0420678	0.0312682	0.0423633	0.0369973	0.034405	0.054062	0.0540195	0.0224788	0.0491514	0.0201299	0.0772218	0.0480826	0.0160052	0.0428059	0.0261484	0.0315956	0.0320522	0.00497729	0.0435131	0.0345863	3.265236
11	1	-15800.38	-15813.45	13.06909	0.117497	0.0861351	0.0909286	0.0924011	0.121495	0.0758817	0.125516	0.0682505	0.103851	0.176986	0.0826626	0.0868263	0.102574	0.0876395	0.123886	0.118955	0.131281	0.0989883	0.128699	0.0867051	0.091124	0.0936331	0.152779	0.0187431	0.0275263	0.032975	0.0302226	0.0597111	0.0359512	0.0439183	0.0208568	0.0254138	0.0510591	0.0366241	0.0255106	0.0358057	0.0867251	0.0420964	0.0160502	0.0223968	0.0500032	0.0471959	0.0285195	3.181999
12	0	-15812.62	-15824.59	11.96822	0.152974	0.0816829	0.102743	0.0841755	0.111982	0.100908	0.1388	0.0743394	0.112681	0.148124	0.0714562	0.101573	0.0981729	0.112421	0.100061	0.134565	0.109254	0.131374	0.129601	0.0802052	0.0906733	0.0902175	0.176877	0.0369171	0.0366566	0.0138866	0.0359578	0.0259325	0.0479182	0.0516088	0.0168191	0.044025	0.0315361	0.085966	0.0619706	0.0266946	0.0383169	0.0342913	0.0217281	0.0483597	0.0166773	0.0315941	0.0503692	3.292086
13	1	-15806.3	-15818.65	12.34337	0.132933	0.0977446	0.0940837	0.0923864	0.135038	0.0842961	0.117974	0.0744006	0.0940978	0.179305	0.0863053	0.073958	0.109929	0.0965177	0.109288	0.0964713	0.144824	0.0989883	0.142544	0.0750097	0.0849319	0.0788089	0.180066	0.0205326	0.0355816	0.0437891	0.0204621	0.0534689	0.0405573	0.0422786	0.0346339	0.0297982	0.0533629	0.0281204	0.0336697	0.0307459	0.103112	0.0420576	0.0192861	0.0209351	0.0366237	0.0351962	0.0504561	3.254571
14	0	-15801.14	-15814.53	13.3956	0.139023	0.102344	0.100196	0.0841755	0.119533	0.0893149	0.126574	0.0798359	0.100128	0.16359	0.0673943	0.0954784	0.0983734	0.08264	0.107887	0.134317	0.0935589	0.115493	0.114762	0.0830453	0.0806692	0.0873637	0.170906	0.0340889	0.0392743	0.0205939	0.0285429	0.0316869	0.028152	0.0288312	0.0145252	0.0374245	0.0213858	0.0870714	0.0517378	0.0202444	0.0261928	0.0491559	0.0245856	0.039644	0.0348474	0.0622752	0.0324854	3.149348
15	1	-15806.78	-15819.32	12.5395	0.127645	0.0918047	0.115178	0.0749597	0.106991	0.0842961	0.110141	0.0744405	0.0923036	0.167091	0.0811161	0.0860447	0.0835097	0.0908741	0.11112	0.139985	0.115243	0.102138	0.134329	0.069081	0.120125	0.0841206	0.171525	0.0268995	0.0211234	0.0286279	0.0488701	0.0655991	0.0357776	0.0375945	0.0256137	0.0287481	0.0539449	0.0262653	0.0306193	0.0311653	0.102016	0.0450935	0.0300371	0.0119186	0.0502771	0.0517019	0.0490018	3.234958
16	0	-15807.59	-15820.41	12.82201	0.123925	0.0812293	0.104137	0.104845	0.123852	0.0807928	0.125604	0.0816076	0.0956871	0.172348	0.0751212	0.0982855	0.0940193	0.0983413	0.107887	0.134317	0.129036	0.0967262	0.115784	0.0932657	0.0806692	0.0833862	0.143617	0.0345278	0.0288282	0.015925	0.0434843	0.021154	0.0447115	0.0275802	0.0236882	0.0440861	0.0321691	0.109546	0.0459245	0.034164	0.0359277	0.0495021	0.0195071	0.0339794	0.0291692	0.0590214	0.0293275	3.206707
17	1	-15803.12	-15815.91	12.79062	0.133805	0.0850647	0.115178	0.0851434	0.131332	0.0762971	0.112877	0.0810172	0.122771	0.168697	0.0709286	0.0695012	0.111579	0.0976531	0.102651	0.110553	0.113416	0.125581	0.122528	0.0756101	0.109729	0.0736665	0.171525	0.021423	0.0342649	0.0351133	0.0340123	0.0551355	0.0182789	0.043026	0.0302045	0.0193515	0.0448823	0.0329371	0.0238457	0.0292681	0.0797983	0.0429751	0.0304248	0.0206359	0.04696	0.032377	0.0678275	3.209846
18	0	-15809.32	-15821.58	12.26502	0.12216	0.102759	0.0737528	0.107605	0.11603	0.0742028	0.132367	0.100999	0.0956871	0.167763	0.0707411	0.0892392	0.118882	0.0943139	0.116558	0.152625	0.124363	0.11442	0.122262	0.0525093	0.112982	0.0695779	0.179302	0.0375516	0.0440196	0.0181686	0.0294628	0.0262913	0.0364171	0.0507334	0.0129869	0.0480239	0.0278431	0.0975613	0.0484982	0.0186654	0.0260949	0.0373315	0.0313916	0.0448653	0.021217	0.048631	0.0455505	3.262406
19	1	-15803.96	-15815.99	12.02564	0.119519	0.0954511	0.101936	0.0837627	0.100732	0.0854096	0.127017	0.0849273	0.103053	0.170287	0.0830456	0.0803071	0.106624	0.0853634	0.144326	0.126838	0.139117	0.101473	0.131468	0.0736645	0.0999015	0.0978983	0.178049	0.0349759	0.0234331	0.0347271	0.037075	0.0459357	0.0260243	0.0286292	0.033633	0.0394626	0.0632927	0.0255835	0.0146075	0.0328835	0.0917817	0.0355594	0.0312222	0.0205208	0.0568229	0.0395981	0.0504066	3.286344
