Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-20726.26	-20727.78	1.523149	0.0458555	0.0842776	0.0567625	0.365043	0.0817911	0.208366	0.0036953	0.335587	0.0265148	0.0310632	0.0207333	0.0190384	0.101553	0.00473591	0.00230046	0.392211	0.0768344	0.00230963	0.0988139	0.216544	0.191749	0.00331777	0.295994	0.0599949	0.128346	0.13299	0.00909757	0.0168505	0.102206	0.0150527	0.0293595	0.0218681	0.0386917	0.205638	0.257547	0.0612147	0.0702157	0.0981349	0.00803966	0.134122	0.185323	0.0423413	0.054468	4.336593
10	-17498.05	-17505.45	7.403266	0.126998	0.0936268	0.130724	0.24488	0.163529	0.134015	0.0116438	0.282126	0.0917863	0.139077	0.0332396	0.0380708	0.138507	0.00560104	0.00457728	0.311407	0.12459	0.00407959	0.179007	0.143742	0.0892698	0.00687339	0.217478	0.047546	0.0780663	0.0205029	0.00960491	0.0164295	0.0884666	0.00960211	0.0784266	0.0341646	0.0342062	0.0857554	0.0663529	0.0506301	0.0293112	0.0548747	0.00635778	0.0846386	0.113854	0.0841716	0.0407733	3.748581
20	-16661.83	-16673.94	12.11254	0.102812	0.102744	0.0958098	0.162649	0.115974	0.0967552	0.0480224	0.282126	0.105481	0.128544	0.0516025	0.0630581	0.0938297	0.00762982	0.0408129	0.124343	0.120715	0.020412	0.143919	0.143742	0.0944811	0.0149323	0.287444	0.0491068	0.0318889	0.0345939	0.00958497	0.0627677	0.0441297	0.00661729	0.0732126	0.0332749	0.0292266	0.0832941	0.0244942	0.0252978	0.026839	0.0421512	0.00643856	0.0929127	0.0713472	0.0606898	0.0219483	3.277654
30	-16035.54	-16048.79	13.25074	0.132525	0.0969812	0.0931199	0.0869476	0.115974	0.0778555	0.110325	0.0636562	0.0829791	0.179595	0.063408	0.0924287	0.104319	0.0148499	0.0934776	0.148416	0.11789	0.0826907	0.128523	0.0880307	0.0944811	0.0256368	0.225036	0.0669423	0.0309846	0.0648279	0.020987	0.0683106	0.0688597	0.0102015	0.0480443	0.0356416	0.0293382	0.118402	0.027834	0.0341772	0.015702	0.0326107	0.0129787	0.0780454	0.0123131	0.0366722	0.0318143	3.163833
40	-15865.64	-15877.9	12.25634	0.157538	0.0983622	0.10915	0.0958931	0.0992137	0.0905452	0.106397	0.0725957	0.115392	0.166613	0.0987974	0.0861496	0.0869361	0.0611951	0.112424	0.125	0.105632	0.0991579	0.103355	0.076064	0.0838651	0.0810769	0.240258	0.0286071	0.0355649	0.0458288	0.0308965	0.0683106	0.0747158	0.0354133	0.0259563	0.0363301	0.0348496	0.0883136	0.0508061	0.0416569	0.0260113	0.0279848	0.0256415	0.0236381	0.00535892	0.0501583	0.0356208	3.263274
50	-15822.93	-15835.17	12.23672	0.129387	0.0878332	0.0860891	0.104697	0.124443	0.0762119	0.125139	0.0660895	0.112681	0.182364	0.0911139	0.0766458	0.11481	0.0850408	0.0987993	0.143823	0.120578	0.0938777	0.118582	0.0972243	0.0918207	0.0928238	0.201231	0.0420678	0.0312682	0.0423633	0.0369973	0.034405	0.054062	0.0540195	0.0224788	0.0491514	0.0201299	0.0772218	0.0480826	0.0160052	0.0428059	0.0261484	0.0315956	0.0320522	0.00497729	0.0435131	0.0345863	3.265236
60	-15812.62	-15824.59	11.96822	0.152974	0.0816829	0.102743	0.0841755	0.111982	0.100908	0.1388	0.0743394	0.112681	0.148124	0.0714562	0.101573	0.0981729	0.112421	0.100061	0.134565	0.109254	0.131374	0.129601	0.0802052	0.0906733	0.0902175	0.176877	0.0369171	0.0366566	0.0138866	0.0359578	0.0259325	0.0479182	0.0516088	0.0168191	0.044025	0.0315361	0.085966	0.0619706	0.0266946	0.0383169	0.0342913	0.0217281	0.0483597	0.0166773	0.0315941	0.0503692	3.292086
70	-15801.14	-15814.53	13.3956	0.139023	0.102344	0.100196	0.0841755	0.119533	0.0893149	0.126574	0.0798359	0.100128	0.16359	0.0673943	0.0954784	0.0983734	0.08264	0.107887	0.134317	0.0935589	0.115493	0.114762	0.0830453	0.0806692	0.0873637	0.170906	0.0340889	0.0392743	0.0205939	0.0285429	0.0316869	0.028152	0.0288312	0.0145252	0.0374245	0.0213858	0.0870714	0.0517378	0.0202444	0.0261928	0.0491559	0.0245856	0.039644	0.0348474	0.0622752	0.0324854	3.149348
80	-15807.59	-15820.41	12.82201	0.123925	0.0812293	0.104137	0.104845	0.123852	0.0807928	0.125604	0.0816076	0.0956871	0.172348	0.0751212	0.0982855	0.0940193	0.0983413	0.107887	0.134317	0.129036	0.0967262	0.115784	0.0932657	0.0806692	0.0833862	0.143617	0.0345278	0.0288282	0.015925	0.0434843	0.021154	0.0447115	0.0275802	0.0236882	0.0440861	0.0321691	0.109546	0.0459245	0.034164	0.0359277	0.0495021	0.0195071	0.0339794	0.0291692	0.0590214	0.0293275	3.206707
90	-15809.32	-15821.58	12.26502	0.12216	0.102759	0.0737528	0.107605	0.11603	0.0742028	0.132367	0.100999	0.0956871	0.167763	0.0707411	0.0892392	0.118882	0.0943139	0.116558	0.152625	0.124363	0.11442	0.122262	0.0525093	0.112982	0.0695779	0.179302	0.0375516	0.0440196	0.0181686	0.0294628	0.0262913	0.0364171	0.0507334	0.0129869	0.0480239	0.0278431	0.0975613	0.0484982	0.0186654	0.0260949	0.0373315	0.0313916	0.0448653	0.021217	0.048631	0.0455505	3.262406
100	-15807.48	-15820.07	12.58994	0.136165	0.126896	0.101189	0.103283	0.111017	0.0860351	0.127658	0.0874992	0.0993249	0.167763	0.0920931	0.076394	0.092829	0.107115	0.100937	0.104503	0.105567	0.107412	0.127648	0.0960276	0.0954124	0.0954072	0.175158	0.0373867	0.0312236	0.0270603	0.0410048	0.0194135	0.0221166	0.0475492	0.0131387	0.0487122	0.0314585	0.0843392	0.0542865	0.0193561	0.0311806	0.0345683	0.0249257	0.0319547	0.0255549	0.0474697	0.033881	3.229914
110	-15804.92	-15817.75	12.83402	0.142633	0.10357	0.0936651	0.103542	0.103865	0.0879254	0.0949589	0.0874992	0.0960755	0.174048	0.086004	0.0700588	0.102269	0.100854	0.103464	0.115863	0.118909	0.107251	0.145508	0.0778896	0.0811797	0.090877	0.174109	0.039799	0.0290771	0.0219556	0.0368612	0.0442548	0.0217491	0.0312601	0.0147372	0.0378339	0.0223353	0.0935325	0.056467	0.0281269	0.0241951	0.0528238	0.0279162	0.0355407	0.0257139	0.0473522	0.0519556	3.205506
120	-15808.06	-15820.59	12.53309	0.133069	0.0985042	0.105892	0.11242	0.110002	0.0808422	0.130925	0.057993	0.093498	0.149793	0.086004	0.0784066	0.0999451	0.0876864	0.117965	0.136387	0.147025	0.108966	0.137142	0.082427	0.0983303	0.0884256	0.150559	0.0308657	0.0415123	0.0165542	0.0224832	0.0237541	0.0421396	0.0564876	0.0182046	0.0404451	0.0244223	0.123986	0.0376801	0.0237635	0.0168691	0.0340305	0.0350789	0.0397368	0.0299192	0.0487838	0.036675	3.235599
