Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
100	-15814.44	-15826.65	12.20957	0.140878	0.121403	0.091639	0.101757	0.116167	0.0875621	0.102608	0.076773	0.0980565	0.170287	0.0830456	0.0714902	0.0979478	0.0853634	0.0970912	0.11879	0.122761	0.105036	0.157164	0.0916267	0.104111	0.0859511	0.148306	0.0292701	0.0171262	0.0427484	0.0279447	0.0437243	0.0353728	0.0316954	0.0345445	0.0390308	0.0574562	0.0252768	0.00894082	0.0386773	0.118355	0.0479544	0.0208178	0.019332	0.0651684	0.0466523	0.0420478	3.267951
110	-15808.64	-15822.26	13.62746	0.147905	0.102974	0.0848098	0.0846727	0.119876	0.0853756	0.123558	0.0706052	0.0980565	0.161863	0.0657771	0.0843373	0.0979478	0.07951	0.0875476	0.132903	0.129932	0.146001	0.117903	0.0828345	0.0839382	0.067294	0.163538	0.0195762	0.0365172	0.0367025	0.0258336	0.0447211	0.0384469	0.033785	0.0252215	0.0334753	0.072644	0.0231853	0.0129418	0.0252773	0.078361	0.0342033	0.0252687	0.0247374	0.0355278	0.0326701	0.0479058	3.126162
120	-15804.66	-15817.54	12.87352	0.178833	0.106004	0.107149	0.0843189	0.105961	0.103856	0.119949	0.0714188	0.0996989	0.161863	0.0838172	0.0876201	0.100067	0.0900057	0.0953418	0.12341	0.133072	0.137962	0.110488	0.0750773	0.0812618	0.0925802	0.1754	0.0322195	0.0239767	0.0352333	0.0274566	0.0413715	0.032148	0.0284466	0.0294951	0.0226398	0.0510069	0.032439	0.0185155	0.0257461	0.077916	0.0332138	0.0160794	0.0168378	0.0499196	0.0408086	0.0409315	3.201556
130	-15805.08	-15818.31	13.23015	0.136334	0.10254	0.0936097	0.086884	0.118918	0.0913427	0.145205	0.0709338	0.0953404	0.190952	0.0685975	0.0897127	0.090786	0.0801874	0.119006	0.125585	0.13403	0.100142	0.101665	0.0638771	0.0824791	0.0946666	0.163893	0.0250988	0.0117595	0.031359	0.0253525	0.053246	0.0435941	0.0212277	0.0299955	0.0348431	0.0531304	0.0322057	0.0182572	0.0215544	0.0988522	0.0441877	0.0349907	0.0217119	0.0424023	0.0326157	0.0428214	3.165893
140	-15806.63	-15818.93	12.30126	0.130384	0.100242	0.110712	0.0960049	0.118543	0.0888889	0.139894	0.0686248	0.0802765	0.188124	0.0751742	0.0838703	0.112543	0.0873109	0.093779	0.114543	0.13403	0.115809	0.1215	0.0858778	0.0934433	0.0898021	0.181364	0.0360776	0.0297161	0.0372404	0.0352484	0.0463975	0.024308	0.0307493	0.0318635	0.022193	0.0587304	0.0385812	0.0266419	0.0434693	0.0990823	0.0253715	0.0209699	0.00961414	0.0378188	0.031081	0.0628864	3.258782
150	-15801.62	-15814.42	12.79793	0.128564	0.0906219	0.11127	0.088913	0.120198	0.075549	0.112983	0.0603879	0.107166	0.159288	0.0917177	0.0978375	0.0872148	0.085584	0.104714	0.137426	0.118543	0.113346	0.1215	0.0790607	0.086896	0.0777695	0.181364	0.0143223	0.0315064	0.0344391	0.0199477	0.0573204	0.0371242	0.0480249	0.0334457	0.0329754	0.0601191	0.0399354	0.0268032	0.0248073	0.100983	0.0438497	0.0230241	0.0176821	0.0414143	0.0336821	0.0497964	3.209115
160	-15801.78	-15814.34	12.56637	0.139703	0.074701	0.0891228	0.0909654	0.123727	0.0724324	0.10718	0.0901255	0.0903104	0.195641	0.0812915	0.0978375	0.10038	0.0875036	0.114502	0.112761	0.141958	0.12315	0.135268	0.0708909	0.0909319	0.0871161	0.188355	0.0211825	0.0305497	0.0315418	0.022333	0.0511614	0.0296966	0.0351256	0.0319491	0.0305728	0.0474061	0.0319862	0.0257176	0.0343072	0.0994111	0.0281038	0.0246821	0.0188789	0.0556638	0.0351472	0.0410003	3.232271
170	-15801.64	-15814.68	13.03215	0.115972	0.0937943	0.0891228	0.0909654	0.115241	0.0841843	0.135086	0.0864045	0.100314	0.142316	0.0940275	0.0739038	0.091365	0.0869057	0.114502	0.144413	0.138438	0.108436	0.128274	0.0755322	0.107543	0.094454	0.186702	0.0305645	0.0300155	0.0351837	0.0406087	0.0518986	0.0260456	0.0294215	0.0253605	0.0276321	0.0509786	0.0335141	0.0233948	0.0279756	0.0804307	0.0323722	0.0196043	0.00806027	0.0444321	0.0276982	0.0426053	3.185693
180	-15804.05	-15815.87	11.8135	0.128337	0.107413	0.0959078	0.111456	0.128721	0.0827326	0.117479	0.0788558	0.0890918	0.18153	0.0740287	0.095138	0.101107	0.109662	0.105531	0.129648	0.139449	0.103089	0.1316	0.0755322	0.0758633	0.0940115	0.165143	0.017714	0.0270355	0.0427693	0.0288353	0.0618625	0.0306848	0.0376589	0.0122676	0.0391618	0.0453576	0.0250298	0.0360579	0.0442697	0.103435	0.0462665	0.0212786	0.0172629	0.0574292	0.0455806	0.0462748	3.307558
190	-15804.8	-15817.51	12.71479	0.128337	0.0984768	0.106049	0.0880419	0.0964747	0.0879962	0.135148	0.0788569	0.091204	0.17874	0.0809706	0.0849958	0.0828307	0.105657	0.101065	0.133383	0.108994	0.11426	0.121688	0.0962818	0.0780035	0.0822348	0.155055	0.0284326	0.0318033	0.0481598	0.0291233	0.0500626	0.0377056	0.051287	0.0371126	0.0281914	0.0611116	0.0354303	0.0225936	0.0302185	0.0805179	0.0306667	0.0175699	0.0173361	0.0456159	0.0401339	0.0596141	3.217429
