Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-1188.169	-1057.692	-130.4763	210108	1.075332	0.997228	0.99929	1.00071	1.00277	45.834
10	-1036.509	-927.9204	-108.5883	591007.8	1.470958	0.998347	0.999577	1.00042	1.00165	29.43465
20	-834.7373	-760.4538	-74.2835	596883.4	3.558653	0.998355	0.999579	1.00042	1.00165	15.07077
30	-741.0319	-683.6918	-57.34018	249213.3	4.790898	0.997455	0.999349	1.00065	1.00255	10.77168
40	-676.6437	-646.3687	-30.27492	616281.1	6.817146	0.998381	0.999586	1.00041	1.00162	6.179179
50	-666.4372	-642.9798	-23.4574	909984.7	9.29465	0.998668	0.999659	1.00034	1.00133	5.446278
60	-656.1544	-638.7551	-17.39926	778452.2	9.64847	0.99856	0.999632	1.00037	1.00144	4.808816
70	-647.5013	-632.2849	-15.21644	825800.2	13.4215	0.998602	0.999642	1.00036	1.0014	4.492291
80	-643.4132	-628.9736	-14.43969	472097.5	12.02436	0.998151	0.999527	1.00047	1.00185	4.506674
90	-642.2682	-627.0897	-15.17858	368183.6	10.8065	0.997906	0.999464	1.00053	1.0021	4.601509
100	-628.42	-624.0572	-4.362776	663899.1	13.31445	0.99844	0.999601	1.0004	1.00156	3.684164
110	-630.1937	-621.8294	-8.364284	402421.7	10.68328	0.997997	0.999487	1.00051	1.002	3.964297
120	-624.9963	-619.1072	-5.889029	842602.6	17.46978	0.998616	0.999646	1.00035	1.00139	3.640604
130	-627.942	-623.0266	-4.915397	820575.7	12.9164	0.998597	0.999641	1.00036	1.0014	3.726804
140	-635.1158	-620.979	-14.13685	294107.7	16.25005	0.997657	0.9994	1.0006	1.00234	4.209287
150	-629.5113	-624.3286	-5.182741	204682.2	16.31932	0.997192	0.999281	1.00072	1.00281	3.655183
160	-631.7513	-627.0551	-4.696206	713745.8	12.10203	0.998496	0.999615	1.00038	1.0015	3.698489
170	-638.2431	-625.9455	-12.29759	554685.8	13.9879	0.998294	0.999564	1.00044	1.00171	4.244327
180	-625.5487	-618.4274	-7.121321	517724	13.27467	0.998234	0.999548	1.00045	1.00177	3.892113
190	-631.4373	-624.4013	-7.036005	939868.9	11.48658	0.998689	0.999665	1.00033	1.00131	3.879329
200	-632.6629	-621.3044	-11.3585	464818.9	13.86099	0.998136	0.999523	1.00048	1.00187	4.183734
